nombre,precio,frecuencia,nucleos,socket,cache,arquitectura,link,imagen,Benchmark
Intel Celeron G1820,19390,2700 MHz,2,LGA 1150,2 x 256KB L2 / 2MB L3,Intel Haswell,https://www.solotodo.com/products/16307-intel-celeron-g1820-bx80646g1820,https://s3.amazonaws.com/solotodo-core/media/cache/7e/d2/7ed26d0f39da16613f23bfb4b48784a4.png,35.6
Intel Celeron G3930,37900,2900 MHz,2,LGA 1151,2 x 256KB L2 / 2MB L3,Intel Kaby Lake,https://www.solotodo.com/products/32459-intel-celeron-g3930-bx80677g3930,https://s3.amazonaws.com/solotodo-core/media/cache/59/0e/590eb6d2b0293c77b1469efc2ec24f74.png,40.3
Intel Celeron G4900,38179,3100 MHz,2,LGA 1151-v2,2 x 256KB L2 / 2 x 1MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/53374-intel-celeron-g4900-bx80684g4900,https://s3.amazonaws.com/solotodo-core/media/cache/c0/35/c0355afad49b004b156f3321ceeb7553.png,43.2
Intel Pentium G4500,39900,3500 MHz,2,LGA 1151,2 x 256KB L2 / 3MB L3,Intel Skylake,https://www.solotodo.com/products/22502-intel-pentium-g4500-bx80662g4500,https://s3.amazonaws.com/solotodo-core/media/cache/f2/64/f2644c32d86f76e9a8b98c1dd89142a7.png,48.1
Intel Pentium G3250,47990,3200 MHz,2,LGA 1150,2 x 256KB L2 / 3MB L3,Intel Haswell,https://www.solotodo.com/products/18692-intel-pentium-g3250-bx80646g3250,https://s3.amazonaws.com/solotodo-core/media/cache/6f/f8/6ff80fbf91eed9e50195e561191fb886.png,42
AMD Athlon 3000G,49990,3500 MHz,2,AM4,2 x 512KB L2 / 4MB L3,AMD Raven Ridge,https://www.solotodo.com/products/70701-amd-athlon-3000g-yd3000c6fhbox,https://s3.amazonaws.com/solotodo-core/media/cache/4e/d1/4ed11b97469243ad00eeec727a63c4e3.png,55.4
AMD Athlon 200GE,55091,3200 MHz,2,AM4,2 x 512KB L2 / 4MB L3,AMD Raven Ridge,https://www.solotodo.com/products/52284-amd-athlon-200ge-yd200gc6fbbox,https://solotodo-core.s3.amazonaws.com/media/cache/b9/05/b905a5877e0361514d13fcba26a06534.png,49.4
Intel Core i3-4170,56900,3700 MHz,2,LGA 1150,2 x 256KB L2 / 3MB L3,Intel Haswell,https://www.solotodo.com/products/20199-intel-core-i3-4170-bx80646i34170,https://s3.amazonaws.com/solotodo-core/media/cache/e9/e8/e9e82b45d1b0ad7809e0c6097ed4fbcd.png,53.5
Intel Pentium Gold G5400,59584,3700 MHz,2,LGA 1151-v2,2 x 256KB L2 / 4MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/49381-intel-pentium-gold-g5400-bx80684g5400,https://s3.amazonaws.com/solotodo-core/media/cache/3b/4d/3b4d54e7fb4b35e2989b6b3fd6485b0b.png,58.3
AMD Athlon 240GE,60791,3500 MHz,2,AM4,2 x 512KB L2 / 4MB L3,AMD Raven Ridge,https://www.solotodo.com/products/56836-amd-athlon-240ge-yd240gc6fbbox,https://s3.amazonaws.com/solotodo-core/media/cache/b9/05/b905a5877e0361514d13fcba26a06534.png,54.8
Intel Core i3-9100F,82890,3600 - 4200 MHz,4,LGA 1151-v2,4 x 256KB L2 / 6MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/61292-intel-core-i3-9100f-bx80684i39100f,https://s3.amazonaws.com/solotodo-core/media/cache/e1/3c/e13c82d22baae897f8b6f312f0c8f353.png,79.7
Intel Pentium Gold G5600,84880,3900 MHz,2,LGA 1151-v2,2 x 256KB L2 / 2 x 2MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/56834-intel-pentium-gold-g5600-bx80684g5600,https://s3.amazonaws.com/solotodo-core/media/cache/7f/36/7f3645106327dd09a696453e88fe6135.png,62.5
AMD Ryzen 3 3200G,99000,3600 - 4000 MHz,4,AM4,4 x 512KB L2 / 4MB L3,AMD Picasso,https://www.solotodo.com/products/63489-amd-ryzen-3-3200g-yd3200c5fhbox,https://s3.amazonaws.com/solotodo-core/media/cache/93/c2/93c2eb78de4f712a16f50e5e180f57ce.png,71.2
AMD Ryzen 3 2200G,99990,3500 - 3700 MHz,4,AM4,4 x 512KB L2 / 4MB L3,AMD Raven Ridge,https://www.solotodo.com/products/42855-amd-ryzen-3-2200g-yd2200c5fbbox,https://s3.amazonaws.com/solotodo-core/media/cache/6a/71/6a710297d92329c3ccf6238c3d3100a5.png,67.1
Intel Core i3-7350K,107990,4200 MHz,2,LGA 1151,2 x 256KB L2 / 4MB L3,Intel Kaby Lake,https://www.solotodo.com/products/34900-intel-core-i3-7350k-bx80677i37350k,https://s3.amazonaws.com/solotodo-core/media/cache/a1/19/a1193173fe0493d94298d488d468b07b.png,67.1
Intel Core i3-6100,109900,3700 MHz,2,LGA 1151,2 x 256KB L2 / 3MB L3,Intel Skylake,https://www.solotodo.com/products/22707-intel-core-i3-6100-bx80662i36100,https://s3.amazonaws.com/solotodo-core/media/cache/cb/1b/cb1b2edc779454c4de7254a9e6965500.png,58.6
Intel Core i3-7100,120990,3900 MHz,2,LGA 1151,2 x 256KB L2 / 3MB L3,Intel Kaby Lake,https://www.solotodo.com/products/31368-intel-core-i3-7100-bx80677i37100,https://s3.amazonaws.com/solotodo-core/media/cache/72/79/7279f49133b7d8b24b7d10152a4bd7b4.png,60.3
Intel Core i3-8100,122890,3600 MHz,4,LGA 1151-v2,4 x 256KB L2 / 6MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/40482-intel-core-i3-8100-bx80684i38100,https://s3.amazonaws.com/solotodo-core/media/cache/1f/56/1f56b2411604f2c555ef6402b5163da1.png,70.5
Intel Core i3-9100,125900,3600 - 4200 MHz,4,LGA 1151-v2,4 x 256KB L2 / 6MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/63828-intel-core-i3-9100-bx80684i39100,https://s3.amazonaws.com/solotodo-core/media/cache/e1/3c/e13c82d22baae897f8b6f312f0c8f353.png,80.9
Intel Core i3-8300,134980,3700 MHz,4,LGA 1151-v2,4 x 256KB L2 / 8MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/47213-intel-core-i3-8300-bx80684i38300,https://s3.amazonaws.com/solotodo-core/media/cache/1f/56/1f56b2411604f2c555ef6402b5163da1.png,72.9
AMD Ryzen 5 2600,136500,3400 - 3900 MHz,6,AM4,6 x 512KB L2 / 16MB L3,AMD Pinnacle Ridge,https://www.solotodo.com/products/43659-amd-ryzen-5-2600-yd2600bbafbox,https://s3.amazonaws.com/solotodo-core/media/cache/a7/af/a7af2216bf5ea62035ba872d06d189f8.png,75.3
AMD Ryzen 5 2400G,139990,3600 - 3900 MHz,4,AM4,4 x 512KB L2 / 4MB L3,AMD Raven Ridge,https://www.solotodo.com/products/42821-amd-ryzen-5-2400g-yd2400c5fbbox,https://s3.amazonaws.com/solotodo-core/media/cache/0f/94/0f94bd963af86aff6029b6c6c1d70f62.png,65.6
Intel Core i5-9400F,155400,2900 - 4100 MHz,6,LGA 1151-v2,6 x 256KB L2 / 9MB L3,Intel Coffee Lake R,https://www.solotodo.com/products/56956-intel-core-i5-9400f-bx80684i59400f,https://s3.amazonaws.com/solotodo-core/media/cache/87/9b/879b50d4912d8037e5d4370c84ea4fa3.png,82.1
