nombre,precio,potencia,certificacion,modular,pcf,link,imagen
Clio ATX650 (650 W),9.310,650 W,Sin certificación,No,No,https://www.solotodo.com/products/4736-clio-atx650-650-w,https://s3.amazonaws.com/solotodo-core/media/cache/80/b4/80b4269e29bafcc4fe86417d0807c313.png
Multimarca 550W (550 W),12.341,550 W,Sin certificación,No,No,https://www.solotodo.com/products/5099-multimarca-550w-550-w,https://s3.amazonaws.com/solotodo-core/media/cache/35/18/351860fc40d2799859001a07a126b733.png
Clio 500W (mini-ITX) (500 W),12.990,500 W,Sin certificación,No,No,https://www.solotodo.com/products/5069-clio-500w-mini-itx-500-w,https://s3.amazonaws.com/solotodo-core/media/cache/c2/7b/c27b3d712308df45708d0a6038caa1b8.png
Clio ATX500W (500 W),12.990,500 W,Sin certificación,No,No,https://www.solotodo.com/products/11479-clio-atx500w-500-w,https://s3.amazonaws.com/solotodo-core/media/cache/80/b4/80b4269e29bafcc4fe86417d0807c313.png
Utek UT-ATX650 (650 W),13.900,650 W,Sin certificación,No,No,https://www.solotodo.com/products/17849-utek-ut-atx650-650-w,https://s3.amazonaws.com/solotodo-core/media/cache/3b/3a/3b3ac6dea3ef6c9f64f8384d533dfec0.png
XTech 600W (600 W),15.235,600 W,Sin certificación,No,No,https://www.solotodo.com/products/4642-xtech-600w-600-w,https://s3.amazonaws.com/solotodo-core/media/cache/80/b4/80b4269e29bafcc4fe86417d0807c313.png
XTech 700W (700 W),17.250,700 W,Sin certificación,No,No,https://www.solotodo.com/products/4824-xtech-700w-700-w,https://s3.amazonaws.com/solotodo-core/media/cache/80/b4/80b4269e29bafcc4fe86417d0807c313.png
Coolmax I-400 (400 W),19.900,400 W,Sin certificación,No,No,https://www.solotodo.com/products/8130-coolmax-i-400-400-w,https://s3.amazonaws.com/solotodo-core/media/cache/44/ee/44ee4750f09ed3223aa4a31b9be466f1.png
Spektra (500 W),19.990,500 W,Sin certificación,No,No,https://www.solotodo.com/products/27436-spektra-500-w,https://solotodo-core.s3.amazonaws.com/media/cache/41/c4/41c416ddf3a61e1cbc4c9cb5d827adfd.png
AirMax AK-600 (600 W),21.900,600 W,Sin certificación,No,Sí,https://www.solotodo.com/products/63938-airmax-ak-600-600-w,https://solotodo-core.s3.amazonaws.com/media/cache/ee/b4/eeb4e9256d819b1b4aca43ee149c5d24.png
Spektra (650 W),21.990,650 W,Sin certificación,No,No,https://www.solotodo.com/products/4898-spektra-650-w,https://s3.amazonaws.com/solotodo-core/media/cache/da/32/da321dac20add6991f6a7cbc490e64b3.png
Spektra ITX-650W-S (650 W),21.990,650 W,Sin certificación,No,No,https://www.solotodo.com/products/9157-spektra-itx-650w-s-650-w,https://s3.amazonaws.com/solotodo-core/media/cache/35/f8/35f84a1f85e805d4c7cf67da71fe8e82.png
Apevia ATX-AS450W (450 W),24.990,450 W,Sin certificación,No,No,https://www.solotodo.com/products/76429-apevia-atx-as450w-450-w,https://s3.amazonaws.com/solotodo-core/media/cache/04/b0/04b0de2f6f55d031eb9ae6fb532d2084.png
EVGA 400W (100-N1-0400-L1) (400 W),33.990,400 W,Sin certificación,No,No,https://www.solotodo.com/products/19357-evga-400w-100-n1-0400-l1-400-w,https://s3.amazonaws.com/solotodo-core/media/cache/55/7a/557a11b31fac5f7b2d53ce530b8cd92f.png
Gigabyte GP-PW400 (400 W),36.990,400 W,80PLUS,No,Sí,https://www.solotodo.com/products/48032-gigabyte-gp-pw400-400-w,https://s3.amazonaws.com/solotodo-core/media/cache/32/42/324258b118da4b5b2b3a9feb3e860fcf.png
Spektra (800 W),39.990,800 W,Sin certificación,No,No,https://www.solotodo.com/products/4900-spektra-800-w,https://s3.amazonaws.com/solotodo-core/media/cache/ea/af/eaaf286c3e0b8de4a2c18b9bf4f1a584.png
Cooler Master Elite V3 600 (MPW-6001-ACABN1) (600 W),39.900,600 W,Sin certificación,No,Sí,https://www.solotodo.com/products/67595-cooler-master-elite-v3-600-mpw-6001-acabn1-600-w,https://s3.amazonaws.com/solotodo-core/media/cache/d9/8b/d98b47c490ded2f4d9b0e610eb6d3f1f.png
Azza PSAZ-550WG (550 W),43.990,550 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/70183-azza-psaz-550wg-550-w,https://s3.amazonaws.com/solotodo-core/media/cache/d3/0c/d30cc42a225c3eb65e41c13a132b2d86.png
EVGA 500 W1 (100-W1-0500-KR) (500 W),46.900,500 W,80PLUS,No,Sí,https://www.solotodo.com/products/15384-evga-500-w1-100-w1-0500-kr-500-w,https://s3.amazonaws.com/solotodo-core/media/cache/2e/43/2e43e25dbc3a804a01e3ea90dc3ffd4f.png
EVGA 600 W1 (100-W1-0600-KR) (600 W),46.990,600 W,80PLUS,No,Sí,https://www.solotodo.com/products/72384-evga-600-w1-100-w1-0600-kr-600-w,https://s3.amazonaws.com/solotodo-core/media/cache/af/1d/af1df1ee8992c970c14233a52f0a5700.png
EVGA 600W (100-W1-0600-K1) (600 W),47.890,600 W,80PLUS,No,Sí,https://www.solotodo.com/products/22103-evga-600w-100-w1-0600-k1-600-w,https://s3.amazonaws.com/solotodo-core/media/cache/dd/94/dd9468dd3bb58cfc3b0e25ff33ee42dc.png
Cougar VTE500 (500 W),49.900,500 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/40073-cougar-vte500-500-w,https://s3.amazonaws.com/solotodo-core/media/cache/d2/30/d230be8a902337d848b9ddadd93ce71c.png
Gigabyte GP-PB500 (500 W),49.990,500 W,80PLUS Bronze,No,Sí,https://www.solotodo.com/products/45013-gigabyte-gp-pb500-500-w,https://s3.amazonaws.com/solotodo-core/media/cache/99/b1/99b19a112afabf6b5a327dbb1ebc6f99.png
