nombre,precio,formato,fuentepoder,ubfuente,panellateral,link,imagen
Clio 6802 (KB-6802),19.990,ATX,650 W.,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/5682-clio-6802-kb-6802,https://s3.amazonaws.com/solotodo-core/media/cache/23/00/23008d510c2799f2a68827715d737e91.png
Clio S101 B (S101 B),19.990,Mini ITX,500 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/15386-clio-s101-b-s101-b,https://s3.amazonaws.com/solotodo-core/media/cache/fe/30/fe301b06b4149457279b8c5f4045b16f.png
Cougar MG110 (385JMP0.0001),20.900,Micro ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/39448-cougar-mg110-385jmp00001,https://s3.amazonaws.com/solotodo-core/media/cache/69/e8/69e82c8703a2c3cf4fce512f5857a631.png
Redfox 5851BS,20.900,ATX,650 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/7720-redfox-5851bs,https://s3.amazonaws.com/solotodo-core/media/cache/91/31/9131c29b24ac6b9cd3601380f3071e76.png
Sunshine Q5B,21.990,ATX,650 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/53920-sunshine-q5b,https://s3.amazonaws.com/solotodo-core/media/cache/f1/12/f11273e83995022d60bc8f1219b62977.png
Spektra Poison 25M,22.990,Micro ATX,200 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/60877-spektra-poison-25m,https://s3.amazonaws.com/solotodo-core/media/cache/54/f7/54f77d492a6068346c71183600c1e438.png
Multimarca S605,22.900,Micro ATX,350 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/5719-multimarca-s605,https://s3.amazonaws.com/solotodo-core/media/cache/d4/d3/d4d333867266abb368f24bfc714085f3.png
XTech XTQ-100,23.900,Micro ATX,600 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/41043-xtech-xtq-100,https://s3.amazonaws.com/solotodo-core/media/cache/00/53/00531ba450aac6c5b63a2755cb8838d5.png
XTech XTQ-103,23.990,Micro ATX,500 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/40546-xtech-xtq-103,https://s3.amazonaws.com/solotodo-core/media/cache/f3/f6/f3f6e9cf361b37e86c913ba54e63cc67.png
Gamemax Expedition H605 - Blue,24.225,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65517-gamemax-expedition-h605-blue,https://s3.amazonaws.com/solotodo-core/media/cache/9b/88/9b881a762869db2a669f588bedd3e563.png
Gamemax Expedition H605 - White,24.225,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65518-gamemax-expedition-h605-white,https://s3.amazonaws.com/solotodo-core/media/cache/fa/b8/fab83e69359f54570b8d588c8211b11e.png
Gamemax Expedition - Blue,24.900,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/62090-gamemax-expedition-blue,https://solotodo-core.s3.amazonaws.com/media/cache/9b/88/9b881a762869db2a669f588bedd3e563.png
Gamemax Expedition H605 - Red,24.900,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65913-gamemax-expedition-h605-red,https://s3.amazonaws.com/solotodo-core/media/cache/b9/58/b9583676630b966d809325cefd9fa2e4.png
Clio S603 Plus,24.990,Micro ATX,500 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/33245-clio-s603-plus,https://s3.amazonaws.com/solotodo-core/media/cache/1a/f0/1af0092b3257d2a401bdbdcaff3d332a.png
Gamemax Expedition H605 - Black,25.900,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65516-gamemax-expedition-h605-black,https://s3.amazonaws.com/solotodo-core/media/cache/48/ba/48ba0c9331cf4ef33436a8b85da9ce69.png
Infor-Ingen IS03-R,26.900,ATX,No posee,Superior,Acrílico,https://www.solotodo.com/products/39271-infor-ingen-is03-r,https://s3.amazonaws.com/solotodo-core/media/cache/84/69/846946ed2fd8cb5cd882e7517dbb19a4.png
Infor-Ingen IS03-B,26.900,ATX,600 W.,Superior,Acrílico,https://www.solotodo.com/products/39270-infor-ingen-is03-b,https://s3.amazonaws.com/solotodo-core/media/cache/82/59/8259dbcc29126dedd3a416431ff1ea41.png
Clio 5830,27.990,ATX,650 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/5555-clio-5830,https://s3.amazonaws.com/solotodo-core/media/cache/4a/99/4a99c5cdfc5f31478fb4a0a425d91ada.png
Sunshine S605BK,28.990,Micro ATX,650 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/29759-sunshine-s605bk,https://s3.amazonaws.com/solotodo-core/media/cache/d4/d3/d4d333867266abb368f24bfc714085f3.png
Spektra Leeroy V2.0,29.990,ATX,230 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/60879-spektra-leeroy-v20,https://s3.amazonaws.com/solotodo-core/media/cache/10/7c/107caf4f39943a0362e7ea325fe61a8b.png
Spektra One,29.990,Micro ATX,230 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/60878-spektra-one,https://solotodo-core.s3.amazonaws.com/media/cache/46/df/46df752371f63d31f0a600363b4f7fb3.png
Infor-Ingen IS11,29.900,ATX,No posee,Superior,Acrílico,https://www.solotodo.com/products/73568-infor-ingen-is11,https://s3.amazonaws.com/solotodo-core/media/cache/35/ea/35ea730e287a0704a1c0ea8278e3f57a.png
Cougar MG130-G (385TM10.0002),31.900,Micro ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70181-cougar-mg130-g-385tm100002,https://s3.amazonaws.com/solotodo-core/media/cache/bd/09/bd09ac56ee516f7790f1b2eb82964367.png
Cougar MX330-G (385NC10.0006),31.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70182-cougar-mx330-g-385nc100006,https://s3.amazonaws.com/solotodo-core/media/cache/68/8d/688d5afa0f6357e5097250a3d7416654.png
XTech Delirium (XT-GMR1),34.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/55044-xtech-delirium-xt-gmr1,https://s3.amazonaws.com/solotodo-core/media/cache/6e/9c/6e9c72703f2d43b0eef28e652f8e598f.png
XTech Environ (XT-GMR2),34.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/55043-xtech-environ-xt-gmr2,https://s3.amazonaws.com/solotodo-core/media/cache/74/7b/747b198c8e14ddde406ce94f63ed55bc.png
Gamemax Matrix G562 (RGB),36.661,ATX,No posee,Superior,Acrílico,https://www.solotodo.com/products/47810-gamemax-matrix-g562-rgb,https://s3.amazonaws.com/solotodo-core/media/cache/bf/e0/bfe0d3c4a2b2dfa119059dff57936e43.png
Cougar MX330 (385NC10.0002),36.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/42511-cougar-mx330-385nc100002,https://s3.amazonaws.com/solotodo-core/media/cache/57/22/5722ae35ca31c391c25a087c461cf4ee.png
Azza Sirius 206 (CSAZ-206),36.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/44687-azza-sirius-206-csaz-206,https://s3.amazonaws.com/solotodo-core/media/cache/51/aa/51aa6b770c3e8d7330b1ee6f0aa9ff5b.png
Sentey SS2-2219,38.990,ATX,450 W.,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/14714-sentey-ss2-2219,https://s3.amazonaws.com/solotodo-core/media/cache/96/c3/96c3adb67dc7c6c7317b7dccfdc38a95.png
Sentey SS5-2514,38.990,Mini ITX,450 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/5556-sentey-ss5-2514,https://s3.amazonaws.com/solotodo-core/media/cache/ea/bb/eabbc67c7d7bf210f46a82110cd8d012.png
Fantech Strike CG72 RGB - Black,39.520,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/67621-fantech-strike-cg72-rgb-black,https://s3.amazonaws.com/solotodo-core/media/cache/a6/33/a6332adf2d11e9a34864d2e7ab4e660d.png
Fantech Pulse CG71 RGB - White,39.520,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/67619-fantech-pulse-cg71-rgb-white,https://s3.amazonaws.com/solotodo-core/media/cache/5c/68/5c68f6f8ac90914c91a77d9f9638671d.png
Thermaltake Versa H24 Window (CA-1C1-00M1WN-00),38.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/37422-thermaltake-versa-h24-window-ca-1c1-00m1wn-00,https://s3.amazonaws.com/solotodo-core/media/cache/6e/d8/6ed85a60a97bddda0ac04b194abcb846.png
DeepCool E-Shield (DP-ATX-E-SHIELD),39.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60875-deepcool-e-shield-dp-atx-e-shield,https://solotodo-core.s3.amazonaws.com/media/cache/ee/87/ee87e31e3d7298743ec8e94df0b6bb5d.png
Corsair Carbide Series SPEC-04 - Black / Red (CC-9011107-WW),39.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/43414-corsair-carbide-series-spec-04-black-red-cc-9011107-ww,https://s3.amazonaws.com/solotodo-core/media/cache/a9/49/a94974d7229705b62fce912c15cc2b9e.png
