nombre,precio,gpu,memoria,frecuencias,bus,link,imagen
MSI N210-MD1G/D3,39.990,NVIDIA GeForce G 210,1 GB DDR3 (64 bit),589 MHz core / 500 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/2543-msi-n210-md1gd3,https://publicapi.solotodo.com/products/2543/picture/?width=375&height=375
Zotac GeForce GT 710 1GB (ZT-71301-20L),49.900,NVIDIA GeForce GT 710,1 GB DDR3 (64 bit),954 MHz core / 800 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/24536-zotac-geforce-gt-710-1gb-zt-71301-20l,https://publicapi.solotodo.com/products/24536/picture/?width=375&height=375
MSI GT 710 1GD3H LP,48.900,NVIDIA GeForce GT 710,1 GB DDR3 (64 bit),954 MHz core / 800 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/26136-msi-gt-710-1gd3h-lp,https://publicapi.solotodo.com/products/26136/picture/?width=375&height=375
Galax GeForce GT 710 (71GGF4DC00WG),49.990,NVIDIA GeForce GT 710,1 GB DDR3 (64 bit),954 MHz core / 500 MHz memorias,PCI Express 2,0 x8,https://www.solotodo.com/products/69398-galax-geforce-gt-710-71ggf4dc00wg,https://s3.amazonaws.com/solotodo-core/media/cache/81/08/81084d5545b28c3669b41a893509a655.png
ASUS GT710-SL-1GD5 (90YV0AL2-M0NA00),48.900,NVIDIA GeForce GT 710,1 GB GDDR5 (32 bit),954 MHz core / 1253 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/43567-asus-gt710-sl-1gd5-90yv0al2-m0na00,https://publicapi.solotodo.com/products/43567/picture/?width=375&height=375
EVGA GT 710 (02G-P3-2713-KR),49.900,NVIDIA GeForce GT 710,2 GB DDR3 (64 bit),954 MHz core / 900 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/26597-evga-gt-710-02g-p3-2713-kr,https://s3.amazonaws.com/solotodo-core/media/cache/2a/00/2a0052f0376a116a7899da282c4e2e74.png
MSI GT 710 2GD3 LP,50.900,NVIDIA GeForce GT 710,2 GB DDR3 (64 bit),954 MHz core / 800 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/26233-msi-gt-710-2gd3-lp,https://publicapi.solotodo.com/products/26233/picture/?width=375&height=375
ASUS 710-2-SL-CSM,57.900,NVIDIA GeForce GT 710,2 GB DDR3 (64 bit),954 MHz core / 450 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/25187-asus-710-2-sl-csm,https://publicapi.solotodo.com/products/25187/picture/?width=375&height=375
Galax GeForce GT 710 (71GPF4HI00GX),59.990,NVIDIA GeForce GT 710,2 GB DDR3 (64 bit),954 MHz core / 500 MHz memorias,PCI Express 2,0 x8,https://www.solotodo.com/products/69399-galax-geforce-gt-710-71gpf4hi00gx,https://s3.amazonaws.com/solotodo-core/media/cache/ab/17/ab17091a7877fff579c807196ee8f81a.png
ASUS GT710-SL-2GD5,64.990,NVIDIA GeForce GT 710,2 GB GDDR5 (64 bit),954 MHz core / 1253 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/67931-asus-gt710-sl-2gd5,https://publicapi.solotodo.com/products/67931/picture/?width=375&height=375
MSI N730-2GD3V3,68.900,NVIDIA GeForce GT 730 (128 bits DDR3),2 GB DDR3 (128 bit),700 MHz core / 900 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/22506-msi-n730-2gd3v3,https://publicapi.solotodo.com/products/22506/picture/?width=375&height=375
ASUS R7240-2GD3-L (90YV04T0-M0NA00),79.990,AMD Radeon R7 240,2 GB DDR3 (128 bit),780 MHz core / 900 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/14197-asus-r7240-2gd3-l-90yv04t0-m0na00,https://s3.amazonaws.com/solotodo-core/media/cache/98/4f/984f303c6fef3fb717a7e6349eae3a3a.png
Zotac GT 730 (64 bits DDR3) (ZT-71113-20L),80.900,NVIDIA GeForce GT 730 (64 bits DDR3),2 GB DDR3 (64 bit),902 MHz core / 800 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/18601-zotac-gt-730-64-bits-ddr3-zt-71113-20l,https://s3.amazonaws.com/solotodo-core/media/cache/e7/ff/e7ff52f342c9288af71786e60915e781.png
Zotac GT 730 (64 bits DDR3) (ZT-71115-20L),92.340,NVIDIA GeForce GT 730 (64 bits DDR3),4 GB DDR3 (64 bit),902 MHz core / 800 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/20186-zotac-gt-730-64-bits-ddr3-zt-71115-20l,https://s3.amazonaws.com/solotodo-core/media/cache/cd/f4/cdf4721f3dc5c906c496c931ad343ab3.png
MSI GeForce GT 1030 2G LP OC,94.900,NVIDIA GeForce GT 1030,2 GB GDDR5 (64 bit),1265 MHz core / 1502 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/36721-msi-geforce-gt-1030-2g-lp-oc,https://s3.amazonaws.com/solotodo-core/media/cache/82/4a/824a6362a64a1dff83ccfc51086b4728.png
EVGA GeForce GT 1030 DDR4 (02G-P4-6232-KR),99.712,NVIDIA GeForce GT 1030,2 GB DDR4 (64 bit),1189 MHz core / 1050 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/46293-evga-geforce-gt-1030-ddr4-02g-p4-6232-kr,https://s3.amazonaws.com/solotodo-core/media/cache/35/50/35502cb9c2535231db977bdef224aa0f.png
Zotac GeForce GT 1030 2GB GDDR5 HDMI/DVI Low Profile (ZT-P10300A-10L),99.990,NVIDIA GeForce GT 1030,2 GB GDDR5 (64 bit),1227 MHz core / 1500 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/36876-zotac-geforce-gt-1030-2gb-gddr5-hdmidvi-low-profile-zt-p10300a-10l,https://solotodo-core.s3.amazonaws.com/media/cache/83/ae/83ae35b9982a0d3e61adbfa2c1136c52.png
Sapphire RX 550 Pulse (11268-15-20G),99.990,AMD Radeon RX 550,4 GB GDDR5 (128 bit),1071 MHz core / 1500 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/73893-sapphire-rx-550-pulse-11268-15-20g,https://s3.amazonaws.com/solotodo-core/media/cache/82/31/8231a2e922fe6e7211afd3c53d146e47.png
ASUS GT1030-2G-CSM (90YV0AT1-M0NA00),99.900,NVIDIA GeForce GT 1030,2 GB GDDR5 (64 bit),1228 MHz core / 1502 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/37502-asus-gt1030-2g-csm-90yv0at1-m0na00,https://s3.amazonaws.com/solotodo-core/media/cache/39/f7/39f71e06b6032bc5df84d0bcbce062a6.png
PNY Quadro NVS 300 (VCNVS300X16-PB),131.900,NVIDIA Quadro NVS 300,512 MB DDR3 (64 bit),589 MHz core / 790 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/2936-pny-quadro-nvs-300-vcnvs300x16-pb,https://s3.amazonaws.com/solotodo-core/media/cache/5a/11/5a119e58318507eca448f09436db2285.png
Sapphire Radeon RX 460 2G D5 OC (11257-00),129.900,AMD Radeon RX 460,2 GB GDDR5 (128 bit),1090 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/28479-sapphire-radeon-rx-460-2g-d5-oc-11257-00,https://s3.amazonaws.com/solotodo-core/media/cache/67/66/676630fb2181173abbd8b6a97c1e3f96.png
MSI GeForce GT 1030 2GD4 LP OC,134.520,NVIDIA GeForce GT 1030,2 GB DDR4 (64 bit),1189 MHz core / 1050 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/53421-msi-geforce-gt-1030-2gd4-lp-oc,https://s3.amazonaws.com/solotodo-core/media/cache/c7/66/c766cd600501361f68b93d802ee1f710.png
