nombre,precio,tipo,capacidad,rpm,tamano,bus,link,imagen
Seagate DB35.3 160 GB,7.990,HDD,160 GB,7200 rpm,3.5"",SATA 2 (3.0 Gb/s),https://www.solotodo.com/products/52641-seagate-db353-160-gb-st3160215sce,https://s3.amazonaws.com/solotodo-core/media/cache/35/80/3580e0e3be364bff555bb26ef6ed2c66.png
Seagate Pipeline 500 GB,19.990,HDD,500 GB,5900 rpm,3.5"",SATA 2 (3.0 Gb/s),https://www.solotodo.com/products/9373-seagate-pipeline-500-gb-st3500312cs,https://s3.amazonaws.com/solotodo-core/media/cache/80/69/80694b65bf73c80013fd261b62522e55.png
Hitachi Travelstar 500 GB,44.990,HDD,500 GB,5400 rpm,2.5"",SATA 2 (3.0 Gb/s),https://www.solotodo.com/products/29720-hitachi-travelstar-500-gb-hts5450b7e660,https://s3.amazonaws.com/solotodo-core/media/cache/53/72/5372fe49ddbc028a33780d9b3013bf00.png
Toshiba P300 500 GB,31.900,HDD,500 GB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/27363-toshiba-p300-500-gb-hdwd105uzsva,https://s3.amazonaws.com/solotodo-core/media/cache/e4/c0/e4c0f83b20206e206db1dd44b4e4fa88.png
Toshiba L200 500 GB,43.990,HDD,500 GB,5400 rpm,2.5"",SATA 2 (3.0 Gb/s),https://www.solotodo.com/products/38694-toshiba-l200-500-gb-hdwk105uzsva,https://s3.amazonaws.com/solotodo-core/media/cache/88/99/8899afeba1ab26bbdf210af99f144d8f.png
Western Digital RE3 1 TB,31.990,HDD,1 TB,7200 rpm,3.5"",SATA 2 (3.0 Gb/s),https://www.solotodo.com/products/76900-western-digital-re3-1-tb-wd1002fbys-02a6b0,https://s3.amazonaws.com/solotodo-core/media/cache/4a/9a/4a9a57e65e24f0f304e9a8564cf72c10.png
Toshiba 500 GB,38.990,HDD,500 GB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/8154-toshiba-500-gb-dt01aca050,https://s3.amazonaws.com/solotodo-core/media/cache/7e/73/7e739efd95c46af21f7992416418f4d1.png
Western Digital Scorpio Blue 500 GB,43.990,HDD,500 GB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/10201-western-digital-scorpio-blue-500-gb-wd5000lpvx,https://s3.amazonaws.com/solotodo-core/media/cache/0e/a8/0ea8f433bf24dc19fbf0b10797c9959d.png
Toshiba P300 1 TB,38.990,HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/27364-toshiba-p300-1-tb-hdwd110uzsva,https://s3.amazonaws.com/solotodo-core/media/cache/91/41/914113a27daf76368f8914677a7a798e.png
Seagate Barracuda Compute 500 GB,37.990,HDD,500 GB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33619-seagate-barracuda-compute-500-gb-st500lm030,https://s3.amazonaws.com/solotodo-core/media/cache/91/c4/91c46da8aabd7d222aa67ef00c9b161c.png
