nombre,precio,socket,chipset,memorias,formato,tipomemoria,link,imagen
ECS KAM1-I,26011,FS1b,AMD AM1 (FS1b),2x DDR3,Mini ITX,DDR3,https://www.solotodo.com/products/17158-ecs-kam1-i-89-206-ke2100,https://solotodo-core.s3.amazonaws.com/media/cache/ec/4f/ec4f57d676af91aa05022daa8ca3343f.png
ASUS F1A75-M LE,27900,FM1,AMD A75 (FM1),2x DDR3,Micro ATX,DDR3,https://www.solotodo.com/products/3473-asus-f1a75-m-le,https://s3.amazonaws.com/solotodo-core/media/cache/22/cb/22cb6af6468eebe3503d6dfc559d397e.png
ASUS A68HM-Plus,33190,FM2+,AMD A68H (FM2+),2x DDR3,Micro ATX,DDR3,https://www.solotodo.com/products/19778-asus-a68hm-plus,https://s3.amazonaws.com/solotodo-core/media/cache/17/4e/174e4687ba4c09de80a962bdce271c6d.png
ASUS A68HM-E,36990,FM2+,AMD A68H (FM2+),2x DDR3,Micro ATX,DDR3,https://www.solotodo.com/products/19326-asus-a68hm-e,https://s3.amazonaws.com/solotodo-core/media/cache/36/c0/36c088a4937157dd311e6be70a879521.png
ASRock FM2A68M-DG3+,39990,FM2+,AMD A68H (FM2+),2x DDR3,Micro ATX,DDR3,https://www.solotodo.com/products/42895-asrock-fm2a68m-dg3,https://s3.amazonaws.com/solotodo-core/media/cache/40/38/403814670dd41ee65d3f0a509e7775c1.png
ECS H110M4-C23,42990,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/27068-ecs-h110m4-c23-89-206-kt2100,https://s3.amazonaws.com/solotodo-core/media/cache/bb/db/bbdb8fcc2afead4bbbd09eb6b92c7afe.png
MSI B250M PRO-VH,44992,LGA 1151,Intel B250 (LGA 1151),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/31744-msi-b250m-pro-vh,https://s3.amazonaws.com/solotodo-core/media/cache/cf/f5/cff514ceba64d4b4631a539545292d5a.png
MSI H110M PRO-VH,45990,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/22854-msi-h110m-pro-vh,https://s3.amazonaws.com/solotodo-core/media/cache/e6/3a/e63a7ed873c3909163d0aee2779e345f.png
MSI H110M PRO-VH PLUS,46208,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/31746-msi-h110m-pro-vh-plus,https://s3.amazonaws.com/solotodo-core/media/cache/6c/9a/6c9a0817eff10b7c59cf235bfab1f979.png
ASUS PRIME H110M-P,47990,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/40910-asus-prime-h110m-p-90mb0ur0-m0aay0,https://s3.amazonaws.com/solotodo-core/media/cache/44/21/4421ed71f96d7ef4ab66f0f2dd7d7c8f.png
ASUS H110M-E/M.2,47990,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/30981-asus-h110m-em2,https://s3.amazonaws.com/solotodo-core/media/cache/df/8a/df8a35ef2f69be6e399fa598dcb445d0.png
ASUS H110M-R/C/SI,48990,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/26756-asus-h110m-rcsi,https://s3.amazonaws.com/solotodo-core/media/cache/97/5d/975d55626783d0c6b604b34175806129.png
MSI H81M-E33,49900,LGA 1150,Intel H81 (LGA 1150),2x DDR3,Micro ATX,DDR3,https://www.solotodo.com/products/11593-msi-h81m-e33,https://s3.amazonaws.com/solotodo-core/media/cache/c3/eb/c3eb9e643ff48219bf959c0aee1a817f.png
Biostar A320MH,50900,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/71255-biostar-a320mh,https://s3.amazonaws.com/solotodo-core/media/cache/b4/5a/b45afd8d9489313c790661b6020e2187.png
