nombre,precio,capacidad,tipo,frecuencia,formato,voltaje,link,imagen
Corsair VS1GB667D2 (1 x 1GB | DIMM DDR2-667),9490,1 x 1GB,DDR2,667 MHz,DIMM,1.90 V,https://www.solotodo.com/products/4425-corsair-vs1gb667d2-1-x-1gb-dimm-ddr2-667,https://s3.amazonaws.com/solotodo-core/media/cache/aa/20/aa20b8a0b51da079d43f0523366ccfa0.png
Kingston KVR533D2N5/512M (1 x 512MB | DIMM DDR2-533),9900,1 x 512MB,DDR2,533 MHz,DIMM,1.80 V,https://www.solotodo.com/products/4314-kingston-kvr533d2n5512m-1-x-512mb-dimm-ddr2-533,https://s3.amazonaws.com/solotodo-core/media/cache/47/0b/470b469020f702ba6679415f7993e9cf.png
Kingston KVR16N11S6/2 (1 x 2GB | DIMM DDR3-1600),10336,1 x 2GB,DDR3,1600 MHz,DIMM,1.50 V,https://www.solotodo.com/products/15313-kingston-kvr16n11s62-1-x-2gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/fc/b2/fcb22bd50ffedb1c7d0721a1b0317ec5.png
ELPIDA D3LD2G16BK (1 x 2GB | DIMM DDR3-1600),11990,1 x 2GB,DDR3,1600 MHz,DIMM,1.50 V,https://www.solotodo.com/products/75707-elpida-d3ld2g16bk-1-x-2gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/4b/e6/4be628f35b3b563ab134cc2df8889cb7.png
Corsair CM3X2GSD1066 (1 x 2GB | SO-DIMM DDR3-1066),11990,1 x 2GB,DDR3,1066 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/5605-corsair-cm3x2gsd1066-1-x-2gb-so-dimm-ddr3-1066,https://s3.amazonaws.com/solotodo-core/media/cache/d0/06/d0064dcc7c7bc9e294cd1f5c9d256f03.png
Crucial CT25664BF160B (1 x 2GB | SO-DIMM DDR3-1600),12990,1 x 2GB,DDR3,1600 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/14933-crucial-ct25664bf160b-1-x-2gb-so-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/cc/eb/ccebdd7f81811cbfbc3d87d7871d96ce.png
Corsair CMSO2GX3M1A1333C9 (1 x 2GB | SO-DIMM DDR3-1333),12990,1 x 2GB,DDR3,1333 MHz,SO-DIMM,1.50 V,https://www.solotodo.com/products/4421-corsair-cmso2gx3m1a1333c9-1-x-2gb-so-dimm-ddr3-1333,https://s3.amazonaws.com/solotodo-core/media/cache/99/9f/999fa0f2bd420e5c5c70b18f398c5c4b.png
G.Skill (1 x 2GB | DIMM DDR2-800),14490,1 x 2GB,DDR2,800 MHz,DIMM,1.80 V,https://www.solotodo.com/products/7419-gskill-1-x-2gb-dimm-ddr2-800,https://s3.amazonaws.com/solotodo-core/media/cache/8d/7c/8d7cb759a15988607e3e6a5932f79116.png
Crucial CT25664BD160B (1 x 2GB | DIMM DDR3-1600),14592,1 x 2GB,DDR3,1600 MHz,DIMM,1.35 V,https://www.solotodo.com/products/28140-crucial-ct25664bd160b-1-x-2gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/fa/09/fa09aea7873bbdecd4a41c8d0963065d.png
Team TED32G1333C901 (1 x 2GB | DIMM DDR3-1333),14990,1 x 2GB,DDR3,1333 MHz,DIMM,1.50 V,https://www.solotodo.com/products/36149-team-ted32g1333c901-1-x-2gb-dimm-ddr3-1333,https://s3.amazonaws.com/solotodo-core/media/cache/fa/ba/fabac33b810960222da143613f63aaa9.png
