nombre,precio,capacidad,formato,bus,link,imagen
Patriot Burst 120 GB,22900,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/45216-patriot-burst-120-gb-pbu120gs25ssdr,https://s3.amazonaws.com/solotodo-core/media/cache/8c/cb/8ccb3ab6dddca0a07716657b82760dd6.png
PNY CS900 120 GB,22900,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/41537-pny-cs900-120-gb-ssd7cs900-120-rb,https://s3.amazonaws.com/solotodo-core/media/cache/8d/4b/8d4b1fcca32f3058c41831d82e1f5aae.png
Western Digital Green 120 GB,39990,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/30108-western-digital-green-120-gb-wds120g1g0a,https://s3.amazonaws.com/solotodo-core/media/cache/ed/c7/edc77c9576c58dcc786610f21b11a5bf.png
SanDisk SSD Plus 120 GB,23990,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42212-sandisk-ssd-plus-120-gb-sdssda-120g-g27,https://s3.amazonaws.com/solotodo-core/media/cache/9b/4b/9b4b309df129d8be6c17ecc78b8d551c.png
Kingston SSDNow A400 120 GB,24900,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33673-kingston-ssdnow-a400-120-gb-sa400s37120g,https://s3.amazonaws.com/solotodo-core/media/cache/e1/ae/e1ae6ad838ebcc6af12ba16759ff410a.png
Biostar S120 128 GB,23900,128 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72785-biostar-s120-128-gb-s120-128,https://solotodo-core.s3.amazonaws.com/media/cache/15/f1/15f17f0db90e11e7b070a222a9f41f45.png
Crucial BX500 120 GB,24990,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/50996-crucial-bx500-120-gb-ct120bx500ssd1,https://s3.amazonaws.com/solotodo-core/media/cache/67/13/6713b1fd01502787dd0ef2254b82430c.png
Lexar NS100 128 GB,25990,128 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/63542-lexar-ns100-128-gb-lns100-128rbna,https://s3.amazonaws.com/solotodo-core/media/cache/22/d3/22d303a78270d73652354a2f1f72cc51.png
Kingston UV500 120 GB,26900,120 GB,mSATA,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/44941-kingston-uv500-120-gb-suv500ms120g,https://s3.amazonaws.com/solotodo-core/media/cache/bf/d0/bfd03efe8c04037e3634d00e0b96e6db.png
SanDisk SSD Plus 240 GB,27900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/21726-sandisk-ssd-plus-240-gb-sdssda-240g-g25,https://s3.amazonaws.com/solotodo-core/media/cache/76/bf/76bfd85f6cbba7352d1880c8c0b06648.png
Patriot Burst 240 GB,28900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/45217-patriot-burst-240-gb-pbu240gs25ssdr,https://s3.amazonaws.com/solotodo-core/media/cache/8f/62/8f6215184c0aab35c4cc6b4c16eb8d60.png
PNY CS900 240 GB,28900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/39794-pny-cs900-240-gb-ssd7cs900-240-rb,https://s3.amazonaws.com/solotodo-core/media/cache/1f/a4/1fa479cb4ca45132112e7ccdfbb9c30f.png
Mushkin Source 2 240 GB,28900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/71035-mushkin-source-2-240-gb-mknssds2240gb,https://s3.amazonaws.com/solotodo-core/media/cache/18/2d/182d6588b03d3da7684255cfb4d5e9ab.png
Biostar S100 240 GB,28900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72786-biostar-s100-240-gb-s100-120,https://s3.amazonaws.com/solotodo-core/media/cache/9b/4b/9b4b309df129d8be6c17ecc78b8d551c.png
Crucial BX500 240 GB,29900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/50997-crucial-bx500-240-gb-ct240bx500ssd1,https://s3.amazonaws.com/solotodo-core/media/cache/5f/1b/5f1b9468c4531fc0d33b67743388f764.png
Seagate Maxtor Z1 240 GB,29900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/63530-seagate-maxtor-z1-240-gb-ya240vc1a001,https://s3.amazonaws.com/solotodo-core/media/cache/8d/4b/8d4b1fcca32f3058c41831d82e1f5aae.png
A-DATA Ultimate SU630 240 GB,32790,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58948-a-data-ultimate-su630-240-gb-asu630ss-240gq-r,https://solotodo-core.s3.amazonaws.com/media/cache/75/48/75482d20b96dd8d4f754f3f264cba36b.png
Kingston SSDNow A400 240 GB,36990,240 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58075-kingston-ssdnow-a400-240-gb-sa400m8240g,https://s3.amazonaws.com/solotodo-core/media/cache/66/a1/66a1c91f5794de3c123050302d2ddc40.png
Lexar NS100 256 GB,32900,256 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/63543-lexar-ns100-256-gb-lns100-256rbna,https://s3.amazonaws.com/solotodo-core/media/cache/bf/d0/bfd03efe8c04037e3634d00e0b96e6db.png
Biostar S120 256 GB,32900,256 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/70343-biostar-s120-256-gb-s120-256,https://s3.amazonaws.com/solotodo-core/media/cache/0a/65/0a65b04f8e23c04f80e2debda0cde6df.png
Western Digital Green 240 GB,44990,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/30109-western-digital-green-240-gb-wds240g1g0a,https://s3.amazonaws.com/solotodo-core/media/cache/46/fc/46fc0dd765d2406579ccf0cc4f9eeda5.png
Kingston HyperX Fury 3D 240 GB,38990,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/66250-kingston-hyperx-fury-3d-240-gb-kc-s44240-6f,https://s3.amazonaws.com/solotodo-core/media/cache/22/d3/22d303a78270d73652354a2f1f72cc51.png
