nombre,precio,tabla,z_link
"Seagate DB35.3 160 GB (ST3160215SCE),Seagate Pipeline 500 GB (ST3500312CS),Hitachi Travelstar 500 GB (Z5K500 HTS545050A7E680 (0J38065)),Toshiba P300 500 GB (HDWD105UZSVA),Toshiba L200 500 GB (HDWK105XZSTA),Western Digital RE3 1 TB (WD1002FBYS-02A6B0),Toshiba 500 GB (MQ01ABF050M),Western Digital Scorpio Blue 500 GB (WD5000LPVT),Toshiba P300 1 TB (HDWD110XZSTA),Seagate Barracuda Compute 500 GB (ST500LM030),Western Digital Blue 1 TB (WD10EZEX),Toshiba P300 1 TB (HDWD110UZSVA)","$ 7.990,$ 19.990,$ 30.900,$ 31.900,$ 31.900,$ 31.990,$ 33.900,$ 34.900,$ 37.900,$ 37.990,$ 38.900,$ 38.990","HDD,160 GB,7200 rpm,3.5"",SATA 2 (3.0 Gb/s),HDD,500 GB,5900 rpm,3.5"",SATA 2 (3.0 Gb/s),HDD,500 GB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,500 GB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,500 GB,5400 rpm,2.5"",SATA 2 (3.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 2 (3.0 Gb/s),HDD,500 GB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,500 GB,5400 rpm,2.5"",SATA 2 (3.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,500 GB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s)","https://www.solotodo.com/products/52641-seagate-db353-160-gb-st3160215sce,https://www.solotodo.com/products/9373-seagate-pipeline-500-gb-st3500312cs,https://www.solotodo.com/products/28161-hitachi-travelstar-500-gb-z5k500-hts545050a7e680-0j38065,https://www.solotodo.com/products/27363-toshiba-p300-500-gb-hdwd105uzsva,https://www.solotodo.com/products/39412-toshiba-l200-500-gb-hdwk105xzsta,https://www.solotodo.com/products/76900-western-digital-re3-1-tb-wd1002fbys-02a6b0,https://www.solotodo.com/products/32698-toshiba-500-gb-mq01abf050m,https://www.solotodo.com/products/9906-western-digital-scorpio-blue-500-gb-wd5000lpvt,https://www.solotodo.com/products/23051-toshiba-p300-1-tb-hdwd110xzsta,https://www.solotodo.com/products/33619-seagate-barracuda-compute-500-gb-st500lm030,https://www.solotodo.com/products/6476-western-digital-blue-1-tb-wd10ezex,https://www.solotodo.com/products/27364-toshiba-p300-1-tb-hdwd110uzsva"
"Toshiba 500 GB (DT01ACA050),Western Digital Blue 500 GB (WD5000LPCX),Western Digital Purple 1 TB (WD10PURX),Seagate Barracuda 1 TB (ST1000DM003),Seagate Barracuda Compute 1 TB (ST1000DM010),Seagate SkyHawk 1 TB (ST1000VX005),Western Digital Blue 500 GB (WD5000AZLX),Hitachi Ultrastar 1 TB (HUA721010KLA330),Toshiba 1 TB (HDKPC03A0A02),Western Digital Scorpio Blue 500 GB (WD5000LPVX),Toshiba L200 500 GB (HDWK105UZSVA),Toshiba V300 1 TB (HDWU110UZSVA)","$ 38.990,$ 38.990,$ 39.900,$ 40.900,$ 40.900,$ 41.690,$ 41.990,$ 41.990,$ 41.952,$ 43.990,$ 43.990,$ 44.990","HDD,500 GB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,500 GB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,500 GB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 2 (3.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,500 GB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,500 GB,5400 rpm,2.5"",SATA 2 (3.0 Gb/s),HDD,1 TB,5700 rpm,3.5"",SATA 3 (6.0 Gb/s)","https://www.solotodo.com/products/8154-toshiba-500-gb-dt01aca050,https://www.solotodo.com/products/21723-western-digital-blue-500-gb-wd5000lpcx,https://www.solotodo.com/products/15267-western-digital-purple-1-tb-wd10purx,https://www.solotodo.com/products/4822-seagate-barracuda-1-tb-st1000dm003,https://www.solotodo.com/products/31383-seagate-barracuda-compute-1-tb-st1000dm010,https://www.solotodo.com/products/33634-seagate-skyhawk-1-tb-st1000vx005,https://www.solotodo.com/products/22355-western-digital-blue-500-gb-wd5000azlx,https://www.solotodo.com/products/42155-hitachi-ultrastar-1-tb-hua721010kla330,https://www.solotodo.com/products/56606-toshiba-1-tb-hdkpc03a0a02,https://www.solotodo.com/products/10201-western-digital-scorpio-blue-500-gb-wd5000lpvx,https://www.solotodo.com/products/38694-toshiba-l200-500-gb-hdwk105uzsva,https://www.solotodo.com/products/53379-toshiba-v300-1-tb-hdwu110uzsva"
"Western Digital Blue 1 TB (WD10EZRZ),Western Digital Purple 1 TB (WD10PURZ),Seagate Pipeline 2 TB (ST2000VM003),Hitachi Travelstar 500 GB (HTS5450B7E660),HGST Ultrastar A7K2000 1 TB (HUA722010CLA331),Hitachi Deskstar 500 GB (0J41955),Toshiba V300 2 TB (HDWU120UZSVA),Toshiba 1 TB (MQ04ABF100),Toshiba L200 1 TB (HDWL110UZSVA),Western Digital Black 1 TB (WD1003FZEX),Seagate Momentus 1 TB (ST1000LM048),Western Digital Blue 1 TB (WD10SPZX)","$ 44.990,$ 44.990,$ 44.990,$ 44.990,$ 44.990,$ 46.990,$ 47.900,$ 48.990,$ 49.990,$ 49.990,$ 49.990,$ 51.990","HDD,1 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,5900 rpm,3.5"",SATA 2 (3.0 Gb/s),HDD,500 GB,5400 rpm,2.5"",SATA 2 (3.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 2 (3.0 Gb/s),HDD,500 GB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,5700 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s)","https://www.solotodo.com/products/40925-western-digital-blue-1-tb-wd10ezrz,https://www.solotodo.com/products/37544-western-digital-purple-1-tb-wd10purz,https://www.solotodo.com/products/9662-seagate-pipeline-2-tb-st2000vm003,https://www.solotodo.com/products/29720-hitachi-travelstar-500-gb-hts5450b7e660,https://www.solotodo.com/products/69358-hgst-ultrastar-a7k2000-1-tb-hua722010cla331,https://www.solotodo.com/products/32287-hitachi-deskstar-500-gb-0j41955,https://www.solotodo.com/products/53378-toshiba-v300-2-tb-hdwu120uzsva,https://www.solotodo.com/products/45727-toshiba-1-tb-mq04abf100,https://www.solotodo.com/products/45865-toshiba-l200-1-tb-hdwl110uzsva,https://www.solotodo.com/products/14251-western-digital-black-1-tb-wd1003fzex,https://www.solotodo.com/products/33941-seagate-momentus-1-tb-st1000lm048,https://www.solotodo.com/products/38697-western-digital-blue-1-tb-wd10spzx"
"Seagate Mobile HDD 1 TB (ST1000LM035),Western Digital Blue 2 TB (WD20EZRZ),Western Digital Black 500 GB (WD5000LPLX),Seagate SkyHawk 2 TB (ST2000VX008),Western Digital Blue 2 TB (WD20EZAZ),Seagate Barracuda 2 TB (ST2000DM008),Western Digital Purple 2 TB (WD20PURZ),Toshiba P300 2 TB (HDWD120UZSVA),Western Digital Purple 2 TB (WD20PURX),Seagate IronWolf NAS 2 TB (ST2000VN004),Western Digital Black 1 TB (WD10SPSX),Toshiba L200 2 TB (HDWL120UZSVA)","$ 52.990,$ 53.900,$ 54.191,$ 55.290,$ 56.990,$ 56.990,$ 58.900,$ 58.990,$ 64.900,$ 69.990,$ 71.490,$ 72.352","HDD,1 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,500 GB,7200 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,5900 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,7200 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s)","https://www.solotodo.com/products/35434-seagate-mobile-hdd-1-tb-st1000lm035,https://www.solotodo.com/products/22356-western-digital-blue-2-tb-wd20ezrz,https://www.solotodo.com/products/21383-western-digital-black-500-gb-wd5000lplx,https://www.solotodo.com/products/33620-seagate-skyhawk-2-tb-st2000vx008,https://www.solotodo.com/products/62343-western-digital-blue-2-tb-wd20ezaz,https://www.solotodo.com/products/59794-seagate-barracuda-2-tb-st2000dm008,https://www.solotodo.com/products/37543-western-digital-purple-2-tb-wd20purz,https://www.solotodo.com/products/26555-toshiba-p300-2-tb-hdwd120uzsva,https://www.solotodo.com/products/15268-western-digital-purple-2-tb-wd20purx,https://www.solotodo.com/products/33744-seagate-ironwolf-nas-2-tb-st2000vn004,https://www.solotodo.com/products/73012-western-digital-black-1-tb-wd10spsx,https://www.solotodo.com/products/52640-toshiba-l200-2-tb-hdwl120uzsva"
"Seagate Barracuda Compute 2 TB (ST2000LM015),Seagate FireCuda 1 TB (ST1000DX002),Western Digital Purple 3 TB (WD30PURZ),Western Digital Red 2 TB (WD20EFRX),Western Digital Red 2 TB (WD20EFAX),Seagate Barracuda 4 TB (ST4000DM004),Western Digital Purple 4 TB (WD40PURZ),HP 1 TB (801882-B21),Western Digital Blue 3 TB (WD30EZRZ),Western Digital Black 2 TB (WD2003FZEX),Western Digital Purple 4 TB (WD40PURX),Toshiba S300 4 TB (HDWT140UZSVA)","$ 74.990,$ 75.098,$ 76.980,$ 84.723,$ 87.990,$ 89.890,$ 89.900,$ 89.990,$ 92.990,$ 94.990,$ 92.900,$ 97.990","HDD,2 TB,5400 rpm,2.5"",SATA 3 (6.0 Gb/s),Híbrido,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,3 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,3 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s)","https://www.solotodo.com/products/35682-seagate-barracuda-compute-2-tb-st2000lm015,https://www.solotodo.com/products/33616-seagate-firecuda-1-tb-st1000dx002,https://www.solotodo.com/products/37545-western-digital-purple-3-tb-wd30purz,https://www.solotodo.com/products/8228-western-digital-red-2-tb-wd20efrx,https://www.solotodo.com/products/64466-western-digital-red-2-tb-wd20efax,https://www.solotodo.com/products/41869-seagate-barracuda-4-tb-st4000dm004,https://www.solotodo.com/products/37541-western-digital-purple-4-tb-wd40purz,https://www.solotodo.com/products/32807-hp-1-tb-801882-b21,https://www.solotodo.com/products/22358-western-digital-blue-3-tb-wd30ezrz,https://www.solotodo.com/products/14586-western-digital-black-2-tb-wd2003fzex,https://www.solotodo.com/products/15747-western-digital-purple-4-tb-wd40purx,https://www.solotodo.com/products/46729-toshiba-s300-4-tb-hdwt140uzsva"
"IBM 1 TB (43W7622),HP 1 TB (861686-B21),Seagate Barracuda Pro 2 TB (ST2000DM009),Western Digital Red 4 TB (WD40EFRX),Seagate SkyHawk 4 TB (ST4000VX007),Toshiba X300 4 TB (HDWE140XZSTA),Toshiba 4 TB (PH3400U-1I72),Toshiba S300 5 TB (HDWT150UZSVA),Lenovo 300 GB (7XB7A00024),Toshiba N300 4 TB (HDWQ140XZSTA),Seagate IronWolf NAS 4 TB (ST4000VN008),Dell 1 TB (400-AUPW)","$ 99.990,$ 99.990,$ 108.890,$ 118.990,$ 122.430,$ 127.990,$ 128.990,$ 129.000,$ 129.981,$ 129.690,$ 143.250,$ 144.990","HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,5 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),SAS,300 GB,10000 rpm,2.5"",SAS,HDD,4 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,5900 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s)","https://www.solotodo.com/products/24381-ibm-1-tb-43w7622,https://www.solotodo.com/products/46471-hp-1-tb-861686-b21,https://www.solotodo.com/products/40705-seagate-barracuda-pro-2-tb-st2000dm009,https://www.solotodo.com/products/13872-western-digital-red-4-tb-wd40efrx,https://www.solotodo.com/products/33617-seagate-skyhawk-4-tb-st4000vx007,https://www.solotodo.com/products/23044-toshiba-x300-4-tb-hdwe140xzsta,https://www.solotodo.com/products/18328-toshiba-4-tb-ph3400u-1i72,https://www.solotodo.com/products/49316-toshiba-s300-5-tb-hdwt150uzsva,https://www.solotodo.com/products/58290-lenovo-300-gb-7xb7a00024,https://www.solotodo.com/products/36823-toshiba-n300-4-tb-hdwq140xzsta,https://www.solotodo.com/products/33704-seagate-ironwolf-nas-4-tb-st4000vn008,https://www.solotodo.com/products/74976-dell-1-tb-400-aupw"
"HP 2 TB (801884-B21),Toshiba X300 5 TB (HDWE150XZSTA),Lenovo 1 TB (4XB7A13554),Dell 2 TB (400-AFYC),Western Digital Purple 6 TB (WD60PURZ),Western Digital Purple 6 TB (WD60PURX),Western Digital Gold 4 TB (WD4003FRYZ),Seagate SkyHawk 6 TB (ST6000VX0023),Dell 2 TB (400-ATKJ),Western Digital Red 6 TB (WD60EFRX),Seagate IronWolf NAS 6 TB (ST6000VN0033),Lenovo 900 GB (7XB7A00026)","$ 149.990,$ 150.990,$ 153.252,$ 159.990,$ 174.990,$ 176.990,$ 179.500,$ 179.990,$ 180.622,$ 188.480,$ 189.334,$ 192.179","HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,5 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,6 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,6 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,6 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,6 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,6 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),SAS,900 GB,10000 rpm,2.5"",SAS","https://www.solotodo.com/products/32992-hp-2-tb-801884-b21,https://www.solotodo.com/products/23050-toshiba-x300-5-tb-hdwe150xzsta,https://www.solotodo.com/products/58104-lenovo-1-tb-4xb7a13554,https://www.solotodo.com/products/40181-dell-2-tb-400-afyc,https://www.solotodo.com/products/38007-western-digital-purple-6-tb-wd60purz,https://www.solotodo.com/products/18609-western-digital-purple-6-tb-wd60purx,https://www.solotodo.com/products/73057-western-digital-gold-4-tb-wd4003fryz,https://www.solotodo.com/products/33949-seagate-skyhawk-6-tb-st6000vx0023,https://www.solotodo.com/products/47740-dell-2-tb-400-atkj,https://www.solotodo.com/products/17554-western-digital-red-6-tb-wd60efrx,https://www.solotodo.com/products/53770-seagate-ironwolf-nas-6-tb-st6000vn0033,https://www.solotodo.com/products/51007-lenovo-900-gb-7xb7a00026"
"Western Digital Red 6 TB (WD60EFAX),Toshiba N300 6 TB (HDWN160XZSTA),Western Digital Blue 6 TB (WD60EZRZ),Lenovo 1200 GB (7XB7A00027),Toshiba S300 8 TB (HDWT380UZSVA),Western Digital Purple Surveillance 8 TB (WD82PURZ),Toshiba X300 6 TB (HDWE160XZSTA),Western Digital Black 4 TB (WD4005FZBX),Dell 4 TB (400-AUUX),Seagate Surveillance 8 TB (ST8000VX0022),Western Digital Red 8 TB (WD80EFAX),Western Digital Gold 6 TB (WD6003FRYZ)","$ 192.185,$ 192.980,$ 192.990,$ 207.437,$ 209.990,$ 211.491,$ 212.990,$ 214.586,$ 216.050,$ 222.990,$ 237.342,$ 245.500","HDD,6 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,6 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,6 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),SAS,1200 GB,10000 rpm,2.5"",SAS,HDD,8 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,8 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,6 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,8 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,8 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,6 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s)","https://www.solotodo.com/products/58914-western-digital-red-6-tb-wd60efax,https://www.solotodo.com/products/36701-toshiba-n300-6-tb-hdwn160xzsta,https://www.solotodo.com/products/23441-western-digital-blue-6-tb-wd60ezrz,https://www.solotodo.com/products/50317-lenovo-1200-gb-7xb7a00027,https://www.solotodo.com/products/50119-toshiba-s300-8-tb-hdwt380uzsva,https://www.solotodo.com/products/64467-western-digital-purple-surveillance-8-tb-wd82purz,https://www.solotodo.com/products/33205-toshiba-x300-6-tb-hdwe160xzsta,https://www.solotodo.com/products/46730-western-digital-black-4-tb-wd4005fzbx,https://www.solotodo.com/products/76758-dell-4-tb-400-auux,https://www.solotodo.com/products/33629-seagate-surveillance-8-tb-st8000vx0022,https://www.solotodo.com/products/46707-western-digital-red-8-tb-wd80efax,https://www.solotodo.com/products/71632-western-digital-gold-6-tb-wd6003fryz"
"Lenovo 4 TB (4XB7A14099),Toshiba X300 8 TB (HDWF180XZSTA),Western Digital Purple 10 TB (WD101PURZ),Toshiba N300 8 TB (HDWN180XZSTA),HP 300 GB (P04693-B21),Seagate IronWolf NAS 10 TB (ST10000VN0008),Seagate SkyHawk 10 TB (ST10000VX0004),Lenovo 1200 GB (4XB7A14112),Dell 1200 GB (400-ATJL),Toshiba S300 10 TB (HDWT31AUZSVA),Lenovo 1800 GB (4XB7A14113),Seagate Surveillance 12 TB (ST12000VX0008)","$ 248.770,$ 268.128,$ 268.990,$ 279.990,$ 286.834,$ 289.990,$ 295.990,$ 303.900,$ 332.211,$ 339.859,$ 345.508,$ 349.990","SAS,4 TB,7200 rpm,3.5"",SCSI,HDD,8 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,10 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,8 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,300 GB,15000 rpm,3.5"",SAS,HDD,10 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,10 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),SAS,1200 GB,10000 rpm,2.5"",SAS,HDD,1200 GB,10000 rpm,2.5"",SAS,HDD,10 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),SAS,1800 GB,10000 rpm,2.5"",SAS,HDD,12 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s)","https://www.solotodo.com/products/55140-lenovo-4-tb-4xb7a14099,https://www.solotodo.com/products/39239-toshiba-x300-8-tb-hdwf180xzsta,https://www.solotodo.com/products/55340-western-digital-purple-10-tb-wd101purz,https://www.solotodo.com/products/36702-toshiba-n300-8-tb-hdwn180xzsta,https://www.solotodo.com/products/54906-hp-300-gb-p04693-b21,https://www.solotodo.com/products/75853-seagate-ironwolf-nas-10-tb-st10000vn0008,https://www.solotodo.com/products/33618-seagate-skyhawk-10-tb-st10000vx0004,https://www.solotodo.com/products/76620-lenovo-1200-gb-4xb7a14112,https://www.solotodo.com/products/55987-dell-1200-gb-400-atjl,https://www.solotodo.com/products/49782-toshiba-s300-10-tb-hdwt31auzsva,https://www.solotodo.com/products/55210-lenovo-1800-gb-4xb7a14113,https://www.solotodo.com/products/58379-seagate-surveillance-12-tb-st12000vx0008"
"Toshiba S300 10 TB (HDWT31AUZSVAR),Dell 2 TB (400-ATJZ),Western Digital Red 10 TB (WD100EFAX),Lenovo 600 GB (7XB7A00022),Western Digital Gold 10 TB (WD102KRYZ),Dell 4 TB (400-ATKN),Toshiba N300 NAS 12 TB (HDWG21CXZSTA),Lenovo 2400 GB (7XB7A00069),Toshiba X300 Performance 12 TB (HDWR21CXZSTA),Toshiba N300 NAS 14 TB (HDWG21EXZSTA),HP 600 GB (P04695-B21),Dell 1800 GB (400-ATJR)","$ 349.990,$ 351.270,$ 359.990,$ 363.017,$ 382.500,$ 387.217,$ 438.368,$ 480.110,$ 497.806,$ 530.176,$ 546.685,$ 551.749","HDD,10 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,2 TB,7200 rpm,2.5"",SATA 3 (6.0 Gb/s),HDD,10 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),SAS,600 GB,15000 rpm,2.5"",SAS,HDD,10 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,4 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,12 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),SAS,2400 GB,10000 rpm,2.5"",SAS,HDD,12 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),HDD,14 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),SAS,600 GB,15000 rpm,3.5"",SAS,HDD,1800 GB,10000 rpm,2.5"",SAS","https://www.solotodo.com/products/74669-toshiba-s300-10-tb-hdwt31auzsvar,https://www.solotodo.com/products/58383-dell-2-tb-400-atjz,https://www.solotodo.com/products/38696-western-digital-red-10-tb-wd100efax,https://www.solotodo.com/products/55084-lenovo-600-gb-7xb7a00022,https://www.solotodo.com/products/71633-western-digital-gold-10-tb-wd102kryz,https://www.solotodo.com/products/51168-dell-4-tb-400-atkn,https://www.solotodo.com/products/57521-toshiba-n300-nas-12-tb-hdwg21cxzsta,https://www.solotodo.com/products/54575-lenovo-2400-gb-7xb7a00069,https://www.solotodo.com/products/65123-toshiba-x300-performance-12-tb-hdwr21cxzsta,https://www.solotodo.com/products/57519-toshiba-n300-nas-14-tb-hdwg21exzsta,https://www.solotodo.com/products/55399-hp-600-gb-p04695-b21,https://www.solotodo.com/products/55986-dell-1800-gb-400-atjr"
