nombre,precio,tabla,z_link
"ECS KAM1-I (89-206-KE2100),ASUS F1A75-M LE,ASUS A68HM-Plus,ASUS A68HM-E,ASRock FM2A68M-DG3+,ECS H110M4-C23 (89-206-KT2100),MSI B250M PRO-VH,MSI H110M PRO-VH,MSI H110M PRO-VH PLUS,ASUS PRIME H110M-P (90MB0UR0-M0AAY0),ASUS H110M-E/M.2,ASUS H110M-R/C/SI","$ 26.011,$ 27.900,$ 33.190,$ 36.990,$ 39.990,$ 42.990,$ 44.992,$ 45.990,$ 46.208,$ 47.990,$ 47.990,$ 48.990","FS1b,AMD AM1 (FS1b),2x DDR3,Mini ITX,FM1,AMD A75 (FM1),2x DDR3,Micro ATX,FM2+,AMD A68H (FM2+),2x DDR3,Micro ATX,FM2+,AMD A68H (FM2+),2x DDR3,Micro ATX,FM2+,AMD A68H (FM2+),2x DDR3,Micro ATX,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,LGA 1151,Intel B250 (LGA 1151),2x DDR4,Micro ATX,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX","https://www.solotodo.com/products/17158-ecs-kam1-i-89-206-ke2100,https://www.solotodo.com/products/3473-asus-f1a75-m-le,https://www.solotodo.com/products/19778-asus-a68hm-plus,https://www.solotodo.com/products/19326-asus-a68hm-e,https://www.solotodo.com/products/42895-asrock-fm2a68m-dg3,https://www.solotodo.com/products/27068-ecs-h110m4-c23-89-206-kt2100,https://www.solotodo.com/products/31744-msi-b250m-pro-vh,https://www.solotodo.com/products/22854-msi-h110m-pro-vh,https://www.solotodo.com/products/31746-msi-h110m-pro-vh-plus,https://www.solotodo.com/products/40910-asus-prime-h110m-p-90mb0ur0-m0aay0,https://www.solotodo.com/products/30981-asus-h110m-em2,https://www.solotodo.com/products/26756-asus-h110m-rcsi"
"MSI H81M-E33,Biostar A320MH,ASUS H81M-K,MSI A320M PRO-M2,ASRock 760GM-HDV,ASRock A320M-HDV R4.0,ASRock H110M-HDV,Biostar H310MHP,MSI H310M PRO-VDH PLUS,Gigabyte H310M H 2.0,ASUS PRIME A320M-K,ASRock H110M-DGS","$ 49.900,$ 50.900,$ 56.900,$ 56.900,$ 56.991,$ 55.900,$ 57.990,$ 57.990,$ 57.890,$ 58.900,$ 57.900,$ 58.990","LGA 1150,Intel H81 (LGA 1150),2x DDR3,Micro ATX,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,LGA 1150,Intel H81 (LGA 1150),2x DDR3,Micro ATX,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,AM3+,AMD 760G (AM3+),2x DDR3,Micro ATX,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX","https://www.solotodo.com/products/11593-msi-h81m-e33,https://www.solotodo.com/products/71255-biostar-a320mh,https://www.solotodo.com/products/14551-asus-h81m-k,https://www.solotodo.com/products/55630-msi-a320m-pro-m2,https://www.solotodo.com/products/48259-asrock-760gm-hdv,https://www.solotodo.com/products/60905-asrock-a320m-hdv-r40,https://www.solotodo.com/products/51469-asrock-h110m-hdv,https://www.solotodo.com/products/71931-biostar-h310mhp,https://www.solotodo.com/products/59732-msi-h310m-pro-vdh-plus,https://www.solotodo.com/products/66876-gigabyte-h310m-h-20,https://www.solotodo.com/products/37082-asus-prime-a320m-k,https://www.solotodo.com/products/37873-asrock-h110m-dgs"
"Gigabyte H310M DS2,MSI A320M PRO-M2 V2,ASRock H310CM-HDV,ASUS PRIME H310M-E R2.0,ASUS PRIME H310M-E,Gigabyte GA-A320M-H,ASUS H110M-D,ASUS H87M-PLUS,MSI A320M-A PRO MAX,MSI H310M PRO-VH,MSI H310M PRO-M2 PLUS,ASRock A320M-HDV","$ 58.890,$ 58.976,$ 57.900,$ 59.490,$ 59.690,$ 59.900,$ 59.990,$ 59.990,$ 59.990,$ 60.990,$ 62.500,$ 62.990","LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,LGA 1151,Intel H110 (LGA 1151),2x DDR4,Micro ATX,LGA 1150,Intel H87 (LGA 1150),4x DDR3,Micro ATX,AM4,AMD A320 (AM4),2x DDR4,Micro ATX,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,AM4,AMD A320 (AM4),2x DDR4,Micro ATX","https://www.solotodo.com/products/71804-gigabyte-h310m-ds2,https://www.solotodo.com/products/61163-msi-a320m-pro-m2-v2,https://www.solotodo.com/products/58987-asrock-h310cm-hdv,https://www.solotodo.com/products/57194-asus-prime-h310m-e-r20,https://www.solotodo.com/products/44204-asus-prime-h310m-e,https://www.solotodo.com/products/71803-gigabyte-ga-a320m-h,https://www.solotodo.com/products/26712-asus-h110m-d,https://www.solotodo.com/products/10787-asus-h87m-plus,https://www.solotodo.com/products/75453-msi-a320m-a-pro-max,https://www.solotodo.com/products/43863-msi-h310m-pro-vh,https://www.solotodo.com/products/56993-msi-h310m-pro-m2-plus,https://www.solotodo.com/products/37083-asrock-a320m-hdv"
"Gigabyte H310M DS2 2.0,MSI B360M PRO-VH,ASRock B450M-HDV R4.0,ASUS B150M-A/M.2,MSI B365M PRO-VH,MSI B150M Bazooka,MSI B450M PRO-M2 V2,ASRock 970M Pro3,MSI B450M PRO-M2,Gigabyte B450M S2H,ASRock B450M/ac,ASRock B450M Pro4-F","$ 64.900,$ 65.056,$ 65.900,$ 65.990,$ 66.990,$ 67.990,$ 68.900,$ 69.900,$ 69.920,$ 71.900,$ 73.900,$ 73.990","LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,LGA 1151-v2,Intel B360 (LGA 1151-v2),2x DDR4,Micro ATX,AM4,AMD B450 (AM4),2x DDR4,Micro ATX,LGA 1151,Intel B150 (LGA 1151),4x DDR4,Micro ATX,LGA 1151-v2,Intel B365 (LGA 1151-v2),2x DDR4,Micro ATX,LGA 1151,Intel B150 (LGA 1151),4x DDR4,Micro ATX,AM4,AMD B450 (AM4),2x DDR4,Micro ATX,AM3+,AMD 970 (AM3+),4x DDR3,Micro ATX,AM4,AMD B450 (AM4),2x DDR4,Micro ATX,AM4,AMD B450 (AM4),2x DDR4,Micro ATX,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,AM4,AMD B450 (AM4),4x DDR4,Micro ATX","https://www.solotodo.com/products/71957-gigabyte-h310m-ds2-20,https://www.solotodo.com/products/43861-msi-b360m-pro-vh,https://www.solotodo.com/products/58563-asrock-b450m-hdv-r40,https://www.solotodo.com/products/27751-asus-b150m-am2,https://www.solotodo.com/products/66434-msi-b365m-pro-vh,https://www.solotodo.com/products/26794-msi-b150m-bazooka,https://www.solotodo.com/products/63580-msi-b450m-pro-m2-v2,https://www.solotodo.com/products/73247-asrock-970m-pro3,https://www.solotodo.com/products/50424-msi-b450m-pro-m2,https://www.solotodo.com/products/76451-gigabyte-b450m-s2h,https://www.solotodo.com/products/63579-asrock-b450mac,https://www.solotodo.com/products/60908-asrock-b450m-pro4-f"
"MSI B450M PRO-M2 MAX,Gigabyte B365M DS3H,ASUS PRIME B250M-C/CSM,MSI B450M BAZOOKA V2,MSI B365M PRO-VDH,MSI B450M PRO-VDH PLUS,MSI B360M GAMING PLUS,ASUS PRIME B365M-A,ASUS PRIME B450M-A,ASRock B450M Pro4,ASRock H310CM-HDV/M.2,ASUS PRIME B360M-A","$ 76.990,$ 78.990,$ 79.900,$ 79.990,$ 79.990,$ 79.900,$ 79.900,$ 79.900,$ 82.490,$ 84.990,$ 84.990,$ 82.900","AM4,AMD B450 MAX (AM4),2x DDR4,Micro ATX,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,LGA 1151,Intel B250 (LGA 1151),4x DDR4,Micro ATX,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,LGA 1151-v2,Intel B360 (LGA 1151-v2),2x DDR4,Micro ATX,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,Micro ATX","https://www.solotodo.com/products/67384-msi-b450m-pro-m2-max,https://www.solotodo.com/products/68526-gigabyte-b365m-ds3h,https://www.solotodo.com/products/38182-asus-prime-b250m-ccsm,https://www.solotodo.com/products/58988-msi-b450m-bazooka-v2,https://www.solotodo.com/products/66435-msi-b365m-pro-vdh,https://www.solotodo.com/products/59231-msi-b450m-pro-vdh-plus,https://www.solotodo.com/products/45732-msi-b360m-gaming-plus,https://www.solotodo.com/products/70706-asus-prime-b365m-a,https://www.solotodo.com/products/51442-asus-prime-b450m-a,https://www.solotodo.com/products/55417-asrock-b450m-pro4,https://www.solotodo.com/products/70340-asrock-h310cm-hdvm2,https://www.solotodo.com/products/44212-asus-prime-b360m-a"
"ASUS PRIME H270M-PLUS/CSM,ASUS PRIME H370M-PLUS/CSM,MSI B450M PRO-VDH MAX,MSI B360M BAZOOKA,ASUS PRIME B450M-A/CSM,ASUS B150 Pro,Gigabyte B365M DS3H WIFI,MSI B350 PC MATE,ASRock B365 Pro4,ASUS TUF B450M-PLUS GAMING,ASRock B450 Pro4,Gigabyte B365 HD3","$ 82.900,$ 89.900,$ 89.990,$ 89.900,$ 89.900,$ 89.900,$ 93.890,$ 94.000,$ 95.000,$ 95.990,$ 96.900,$ 99.950","LGA 1151,Intel H270 (LGA 1151),4x DDR4,Micro ATX,LGA 1151-v2,Intel H370 (LGA 1151-v2),4x DDR4,Micro ATX,AM4,AMD B450 MAX (AM4),4x DDR4,Micro ATX,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,Micro ATX,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,LGA 1151,Intel B150 (LGA 1151),4x DDR4,ATX,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,AM4,AMD B350 (AM4),4x DDR4,ATX,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,AM4,AMD B450 (AM4),4x DDR4,ATX,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX","https://www.solotodo.com/products/34667-asus-prime-h270m-pluscsm,https://www.solotodo.com/products/45373-asus-prime-h370m-pluscsm,https://www.solotodo.com/products/69113-msi-b450m-pro-vdh-max,https://www.solotodo.com/products/43860-msi-b360m-bazooka,https://www.solotodo.com/products/49379-asus-prime-b450m-acsm,https://www.solotodo.com/products/31287-asus-b150-pro,https://www.solotodo.com/products/73072-gigabyte-b365m-ds3h-wifi,https://www.solotodo.com/products/35140-msi-b350-pc-mate,https://www.solotodo.com/products/58123-asrock-b365-pro4,https://www.solotodo.com/products/49377-asus-tuf-b450m-plus-gaming,https://www.solotodo.com/products/56853-asrock-b450-pro4,https://www.solotodo.com/products/70531-gigabyte-b365-hd3"
"Gigabyte B365 M AORUS ELITE,MSI B150A GAMING PRO,ASRock B365M-ITX/ac,Gigabyte B450 AORUS M,ASUS PRIME B450-PLUS,ASUS PRIME B360-PLUS,ASUS TUF B365M-PLUS GAMING,ASRock Fatal1ty B450 Gaming K4,ASRock Z370 Pro4,ASRock X370 Pro4,ASUS TUF B360-PLUS GAMING,MSI Z270 PC MATE","$ 100.500,$ 98.900,$ 102.486,$ 104.386,$ 106.990,$ 104.900,$ 108.810,$ 110.405,$ 109.900,$ 114.990,$ 112.900,$ 112.900","LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,LGA 1151,Intel B150 (LGA 1151),4x DDR4,ATX,LGA 1151-v2,Intel B365 (LGA 1151-v2),2x DDR4,Mini ITX,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,AM4,AMD B450 (AM4),4x DDR4,ATX,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,AM4,AMD B450 (AM4),4x DDR4,ATX,LGA 1151-v2,Intel Z370 (LGA 1151-v2),4x DDR4,ATX,AM4,AMD X370 (AM4),4x DDR4,ATX,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX","https://www.solotodo.com/products/69214-gigabyte-b365-m-aorus-elite,https://www.solotodo.com/products/22857-msi-b150a-gaming-pro,https://www.solotodo.com/products/67234-asrock-b365m-itxac,https://www.solotodo.com/products/50191-gigabyte-b450-aorus-m,https://www.solotodo.com/products/49370-asus-prime-b450-plus,https://www.solotodo.com/products/44215-asus-prime-b360-plus,https://www.solotodo.com/products/69858-asus-tuf-b365m-plus-gaming,https://www.solotodo.com/products/49279-asrock-fatal1ty-b450-gaming-k4,https://www.solotodo.com/products/41660-asrock-z370-pro4,https://www.solotodo.com/products/43235-asrock-x370-pro4,https://www.solotodo.com/products/47678-asus-tuf-b360-plus-gaming,https://www.solotodo.com/products/33708-msi-z270-pc-mate"
"ASUS PRIME Z270M-PLUS,MSI H370 GAMING PRO CARBON,Gigabyte GA-Z270M-D3H,Gigabyte B360 AORUS GAMING 3 WIFI,ASUS TUF B360M-PLUS GAMING,MSI Z270 GAMING M3,ASUS ROG STRIX B360-H GAMING,ASUS TUF B365-PLUS GAMING,ASUS Z170-K,ASRock Fatal1ty B450 Gaming-ITX/ac,ASUS TUF B450-PLUS GAMING,MSI B450 TOMAHAWK","$ 114.900,$ 114.900,$ 115.900,$ 119.900,$ 119.990,$ 117.900,$ 118.900,$ 119.900,$ 122.900,$ 127.900,$ 124.900,$ 124.900","LGA 1151,Intel Z270 (LGA 1151),4x DDR4,Micro ATX,LGA 1151-v2,Intel H370 (LGA 1151-v2),4x DDR4,ATX,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,Micro ATX,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,Micro ATX,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,AM4,AMD B450 (AM4),2x DDR4,Mini ITX,AM4,AMD B450 (AM4),4x DDR4,ATX,AM4,AMD B450 (AM4),4x DDR4,ATX","https://www.solotodo.com/products/37872-asus-prime-z270m-plus,https://www.solotodo.com/products/43864-msi-h370-gaming-pro-carbon,https://www.solotodo.com/products/36032-gigabyte-ga-z270m-d3h,https://www.solotodo.com/products/45024-gigabyte-b360-aorus-gaming-3-wifi,https://www.solotodo.com/products/45546-asus-tuf-b360m-plus-gaming,https://www.solotodo.com/products/32368-msi-z270-gaming-m3,https://www.solotodo.com/products/44658-asus-rog-strix-b360-h-gaming,https://www.solotodo.com/products/72839-asus-tuf-b365-plus-gaming,https://www.solotodo.com/products/25198-asus-z170-k,https://www.solotodo.com/products/49278-asrock-fatal1ty-b450-gaming-itxac,https://www.solotodo.com/products/50451-asus-tuf-b450-plus-gaming,https://www.solotodo.com/products/50189-msi-b450-tomahawk"
"MSI Z270 KRAIT GAMING,ASRock Z390M Pro4,MSI Z390-A PRO,Gigabyte Z390 D,ASRock Z390 Phantom Gaming 4S,ASRock Z390 Pro4,MSI Z270 GAMING M5,Gigabyte B450 AORUS PRO WIFI,ASUS ROG STRIX B450-F GAMING,Gigabyte GA-Z170-GAMING K3 (rev. 1.0),ASUS ROG STRIX B365-F GAMING,ASUS PRIME Z390-P","$ 125.900,$ 130.578,$ 127.900,$ 131.900,$ 132.886,$ 129.900,$ 129.900,$ 134.990,$ 135.990,$ 137.000,$ 134.900,$ 138.990","LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,Micro ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,AM4,AMD B450 (AM4),4x DDR4,ATX,AM4,AMD B450 (AM4),4x DDR4,ATX,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX","https://www.solotodo.com/products/32135-msi-z270-krait-gaming,https://www.solotodo.com/products/52310-asrock-z390m-pro4,https://www.solotodo.com/products/52308-msi-z390-a-pro,https://www.solotodo.com/products/71805-gigabyte-z390-d,https://www.solotodo.com/products/62116-asrock-z390-phantom-gaming-4s,https://www.solotodo.com/products/53905-asrock-z390-pro4,https://www.solotodo.com/products/31105-msi-z270-gaming-m5,https://www.solotodo.com/products/49375-gigabyte-b450-aorus-pro-wifi,https://www.solotodo.com/products/49372-asus-rog-strix-b450-f-gaming,https://www.solotodo.com/products/26762-gigabyte-ga-z170-gaming-k3-rev-10,https://www.solotodo.com/products/71967-asus-rog-strix-b365-f-gaming,https://www.solotodo.com/products/58292-asus-prime-z390-p"
"MSI MPG Z390 GAMING PLUS,Gigabyte Z390 UD,ASUS TUF X470-PLUS GAMING,Gigabyte Z390 M GAMING,ASUS Maximus VIII Ranger,ASRock Z390 Phantom Gaming 6,ASRock Z390 Steel Legend,Gigabyte GA-Z270N-GAMING 5,ASUS TUF Z390-PLUS GAMING (WI-FI),ASRock X570 Phantom Gaming 4,ASUS PRIME Z390-A,ASUS TUF Z390M-PRO GAMING (WI-FI)","$ 143.990,$ 144.799,$ 144.990,$ 153.890,$ 149.900,$ 155.900,$ 163.500,$ 159.900,$ 169.900,$ 166.900,$ 171.990,$ 169.900","LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,AM4,AMD X470 (AM4),4x DDR4,ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,Micro ATX,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,LGA 1151,Intel Z270 (LGA 1151),2x DDR4,Mini ITX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,AM4,AMD X570 (AM4),4x DDR4,ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,Micro ATX","https://www.solotodo.com/products/52307-msi-mpg-z390-gaming-plus,https://www.solotodo.com/products/52309-gigabyte-z390-ud,https://www.solotodo.com/products/46581-asus-tuf-x470-plus-gaming,https://www.solotodo.com/products/60147-gigabyte-z390-m-gaming,https://www.solotodo.com/products/25191-asus-maximus-viii-ranger,https://www.solotodo.com/products/53324-asrock-z390-phantom-gaming-6,https://www.solotodo.com/products/73245-asrock-z390-steel-legend,https://www.solotodo.com/products/38181-gigabyte-ga-z270n-gaming-5,https://www.solotodo.com/products/52304-asus-tuf-z390-plus-gaming-wi-fi,https://www.solotodo.com/products/64741-asrock-x570-phantom-gaming-4,https://www.solotodo.com/products/53325-asus-prime-z390-a,https://www.solotodo.com/products/53664-asus-tuf-z390m-pro-gaming-wi-fi"
