Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD121KRYZ,WD,Gold 12TB (2017),1,114,310,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01
HDD,WD101KRYZ,WD,Gold 10TB (2016),2,111,537,https://hdd.userbenchmark.com/SpeedTest/171115/WDC-WD101KRYZ-01JPDB0
HDD,WD8003FRYZ,WD,Gold 8TB (256MB Cache 2017),3,106,333,https://hdd.userbenchmark.com/SpeedTest/388081/WDC-WD8003FRYZ-01JPDB1
HDD,WD6002FFWX,WD,Red Pro 6TB (2015),4,102,559,https://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0
HDD,WD6002FRYZ,WD,Gold 6TB (2016) ,5,101,995,https://hdd.userbenchmark.com/SpeedTest/167511/WDC-WD6002FRYZ-01WD5
HDD,WD6002FZWX,WD,Black 6TB (2016),6,99.8,3382,https://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927
HDD,ST3000DM008,Seagate,Barracuda 3TB (2016),7,98.1,49480,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898
HDD,WD8002FRYZ,WD,Gold 8TB (128MB Cache 2016),8,96.7,131,https://hdd.userbenchmark.com/SpeedTest/226349/WDC-WD8002FRYZ-01FF2B0
HDD,WD1000DHTZ,WD,VelociRaptor 1TB,9,95.6,4111,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389
HDD,ST2000DM006,Seagate,Barracuda 2TB (2016),10,95.3,248785,https://hdd.userbenchmark.com/Seagate-Barracuda-2TB-2016/Rating/3897
HDD,WD5000BHTZ,WD,VelociRaptor 2.5 500GB,11,94.1,219,https://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1
HDD,0S03839,HGST,Deskstar NAS 6TB,12,94,600,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,WD6001FZWX,WD,Black 6TB (2015),13,93.5,3277,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519
HDD,WD4004FZWX,WD,Black 4TB (2016),14,93.2,6573,https://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908
HDD,ST1000DM010,Seagate,Barracuda 1TB (2016),15,93.1,373416,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,ST4000VN008,Seagate,IronWolf 4TB (2016),16,93,4484,https://hdd.userbenchmark.com/Seagate-IronWolf-4TB-2016/Rating/3906
HDD,WD100EFAX,WD,Red 10TB (2017),17,92.2,711,https://hdd.userbenchmark.com/SpeedTest/324807/WDC-WD100EFAX-68LHPN0
HDD,0F23668,HGST,Ultrastar He8 Helium 8TB,18,92.2,456,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,WD4002FYYZ,WD,Gold 4TB (2016),19,91.6,1961,https://hdd.userbenchmark.com/SpeedTest/147091/WDC-WD4002FYYZ-01B7CB0
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,20,91.3,62,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,ST5000DM002,Seagate,Desktop HDD 5TB (2015),21,91.1,178,https://hdd.userbenchmark.com/SpeedTest/123827/ST5000DM002-1XY17X
HDD,WD2005FBYZ,WD,Gold 2TB (2016),22,90.8,1812,https://hdd.userbenchmark.com/SpeedTest/206650/WDC-WD2005FBYZ-01YCBB1
HDD,ST3000DM001,Seagate,Barracuda 7200.14 3TB,23,90.6,133593,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-3TB/Rating/1374
HDD,ST2000DM008,Seagate,Barracuda 2TB (2018),24,90.3,48343,https://hdd.userbenchmark.com/SpeedTest/466743/ST2000DM008-2FR102
HDD,ST3000VX000,Seagate,Video SV35.6 Series 3TB,25,90.2,3405,https://hdd.userbenchmark.com/SpeedTest/4903/ST3000VX000-9YW166
HDD,WD5000HHTZ,WD,VelociRaptor 500GB,26,90.1,4814,https://hdd.userbenchmark.com/SpeedTest/1434/WDC-WD5000HHTZ-04N21V0
HDD,ST1000VX000,Seagate,Video SV35.6 Series 1TB,27,89.9,9274,https://hdd.userbenchmark.com/SpeedTest/6250/ST1000VX-ST1000VX000-1CU1
HDD,HDWD120EZSTA,Toshiba,P300 2TB,28,89.9,38259,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,ST6000DM001,Seagate,Desktop HDD 6TB (2015),29,89.6,529,https://hdd.userbenchmark.com/SpeedTest/36984/ST6000DM001-1XY17Z
HDD,ST4000VX007,Seagate,SkyHawk 4TB (2016),30,89.4,2141,https://hdd.userbenchmark.com/SpeedTest/215593/ST4000VX007-2DT166
HDD,WD80EFAX,WD,Red 8TB (2017),31,89.3,1758,https://hdd.userbenchmark.com/SpeedTest/314696/WDC-WD80EFAX-68LHPN0
HDD,ST3300657SS,Seagate,Cheetah 15K.7 SAS 300GB,32,89.1,684,https://hdd.userbenchmark.com/SpeedTest/9679/SEAGATE-ST3300657SS
HDD,HDWE140EZSTA,Toshiba,X300 4TB,33,89.1,7995,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,HDWE150EZSTA,Toshiba,X300 5TB,34,89,5708,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,ST2000DM001,Seagate,Barracuda 7200.14 2TB,35,88.9,433395,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-2TB/Rating/1619
HDD,ST2000VX000,Seagate,Video SV35.6 Series 2TB,36,88.9,6859,https://hdd.userbenchmark.com/Seagate-Video-SV356-Series-2TB/Rating/1816
HDD,WD1005FBYZ,WD,Gold 1TB (2016),37,88.5,1512,https://hdd.userbenchmark.com/SpeedTest/204853/WDC-WD1005FBYZ-01YCBB1
HDD,WD5001FZWX,WD,Black 5TB (2015),38,88.4,4277,https://hdd.userbenchmark.com/WD-Black-5TB-2015/Rating/3907
HDD,HDWD130EZSTA,Toshiba,P300 3TB,39,88.1,30021,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWE160XZSTA,Toshiba,X300 6TB,40,88,2192,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,ST500DM009,Seagate,Barracuda 500GB (2016),41,87.2,3816,https://hdd.userbenchmark.com/Seagate-Barracuda-500GB-2016/Rating/3909
HDD,ST6000DX000,Seagate,Desktop HDD 6TB (2014),42,87,734,https://hdd.userbenchmark.com/SpeedTest/12188/ST6000DX000-1H217Z
HDD,PH3500U-1I72,Toshiba,MD04ACA500 5TB,43,86.8,1861,https://hdd.userbenchmark.com/Toshiba-MD04ACA500-5TB/Rating/3526
HDD,ST1000DM003,Seagate,Barracuda 7200.14 1TB,44,86.5,862316,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-1TB/Rating/1849
HDD,WD2003FZEX,WD,Black 2TB (2013),45,86.5,73269,https://hdd.userbenchmark.com/WD-Black-2TB-2013/Rating/1821
HDD,WD3001FFSX,WD,Red Pro 3TB (2014),46,86.4,302,https://hdd.userbenchmark.com/SpeedTest/27132/WDC-WD3001FFSX-68JNUN0
HDD,WD2500HHTZ,WD,VelociRaptor 250GB,47,86.3,1729,https://hdd.userbenchmark.com/SpeedTest/139/WDC-WD2500HHTZ-04N21V0
HDD,,Toshiba,DT01ACA300 3TB,48,86.3,52620,https://hdd.userbenchmark.com/Toshiba-DT01ACA300-3TB/Rating/2735
HDD,ST3000NC002,Seagate,Constellation CS 3TB,49,86.2,343,https://hdd.userbenchmark.com/SpeedTest/5929/ST3000NC002-1DY166
HDD,ST2000DX002,Seagate,FireCuda SSHD 2TB (2016),50,86.1,65778,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-2TB-2016/Rating/3903
HDD,ST2000NC001,Seagate,Constellation CS 2TB,51,86,341,https://hdd.userbenchmark.com/SpeedTest/10959/ST2000NC001-1DY164
HDD,,Toshiba,DT01ACA200 2TB,52,86,152181,https://hdd.userbenchmark.com/Toshiba-DT01ACA200-2TB/Rating/2736
HDD,PH3600U-1I72,Toshiba,MD04ACA600 6TB,53,85.9,288,https://hdd.userbenchmark.com/SpeedTest/35546/TOSHIBA-MD04ACA600
HDD,HDWD110EZSTA,Toshiba,P300 1TB,54,85.7,95441,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,0S03835,HGST,Deskstar NAS 5TB,55,85.6,387,https://hdd.userbenchmark.com/SpeedTest/36844/HGST-HDN726050ALE610
HDD,ST2000NM0033,Seagate,Constellation ES.3 2TB,56,85.3,1761,https://hdd.userbenchmark.com/SpeedTest/12036/ST2000NM0033-9ZM175
HDD,ST3000VN007,Seagate,IronWolf 3TB (2016),57,84.4,1216,https://hdd.userbenchmark.com/Seagate-IronWolf-3TB-2016/Rating/3905
HDD,STCL2000400,Seagate,Desktop SSHD 2TB,58,84.2,51705,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783
HDD,ST3000VX010,Seagate,SkyHawk 3TB (2016),59,84.1,790,https://hdd.userbenchmark.com/SpeedTest/237204/ST3000VX010-2E3166
HDD,ST2000VN004,Seagate,IronWolf 2TB (2016),60,84,2158,https://hdd.userbenchmark.com/SpeedTest/245098/ST2000VN004-2E4164
HDD,ST4000DM005,Seagate,Barracuda 4TB (2016),61,83.8,16985,https://hdd.userbenchmark.com/Seagate-Barracuda-4TB-2016/Rating/3899
HDD,WD40EZRZ,WD,Blue 4TB (2015),62,83.8,43922,https://hdd.userbenchmark.com/WD-Blue-4TB-2015/Rating/3523
HDD,WD4001FFSX,WD,Red Pro 4TB (2014),63,83.7,324,https://hdd.userbenchmark.com/WD-Red-Pro-4TB-2014/Rating/2664
HDD,PH3400U-1I72,Toshiba,MD04ACA400 4TB,64,83.6,5739,https://hdd.userbenchmark.com/Toshiba-MD04ACA400-4TB/Rating/3202
HDD,WD10EZEX,WD,Blue 1TB (2012),65,83.6,1481431,https://hdd.userbenchmark.com/WD-Blue-1TB-2012/Rating/1779
HDD,WD1003FZEX,WD,Black 1TB (2013),66,83.5,121946,https://hdd.userbenchmark.com/WD-Black-1TB-2013/Rating/1822
HDD,ST1000NM0033,Seagate,Constellation ES.3 1TB,67,83.3,4470,https://hdd.userbenchmark.com/SpeedTest/7297/ST1000NM0033-9ZM173
HDD,ST1000DX002,Seagate,FireCuda SSHD 1TB (2016),68,83.3,28719,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-1TB-2016/Rating/3902
HDD,WD60PURZ,WD,Purple Surveillance 6TB (2017),69,81.9,371,https://hdd.userbenchmark.com/SpeedTest/342114/WDC-WD60PURZ-85ZUFY1
HDD,WD80PURZ,WD,Purple Surveillance 8TB (2017),70,81.7,105,https://hdd.userbenchmark.com/SpeedTest/382445/WDC-WD80PURZ-85YNPY0
HDD,WD60EFAX,WD,Red 6TB (2019),71,81.6,37,https://hdd.userbenchmark.com/SpeedTest/748440/WDC-WD60EFAX-68SHWN0
HDD,ST1000DX001,Seagate,Desktop SSHD 1TB,72,81.5,58500,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-1TB/Rating/1784
HDD,ST2000VX008,Seagate,SkyHawk 2TB (2016),73,81.2,2475,https://hdd.userbenchmark.com/SpeedTest/211060/ST2000VX008-2E3164
HDD,ST1000VN002,Seagate,IronWolf 1TB (2016),74,81.1,733,https://hdd.userbenchmark.com/Seagate-IronWolf-1TB-2016/Rating/3904
HDD,WD3000FYYZ,WD,Re 3TB (2012),75,81,767,https://hdd.userbenchmark.com/WD-Re-3TB-2012/Rating/2665
HDD,WD40PURZ,WD,Purple Surveillance 4TB (2017),76,80.8,2182,https://hdd.userbenchmark.com/SpeedTest/433989/WDC-WD40PURZ-85T
HDD,WD4000FYYZ,WD,Re 4TB (2012),77,80.7,1482,https://hdd.userbenchmark.com/SpeedTest/1815/WDC-WD4000FYYZ-01UL1B0
HDD,WD3003FZEX,WD,Black 3TB (2013),78,80.6,9869,https://hdd.userbenchmark.com/SpeedTest/5002/WDC-WD3003FZEX-00Z4SA0
HDD,,Toshiba,DT01ACA100 1TB,79,80.2,393582,https://hdd.userbenchmark.com/Toshiba-DT01ACA100-1TB/Rating/2737
HDD,WD4000F9YZ,WD,Se 4TB,80,80,947,https://hdd.userbenchmark.com/WD-Se-4TB/Rating/1823
HDD,,Hitachi,HDS723030BLE640 3TB,81,79.6,546,https://hdd.userbenchmark.com/SpeedTest/4601/Hitachi-HDS723030BLE640
HDD,,Seagate,ST4000DM 000-1CD168 4TB,82,79.3,11,https://hdd.userbenchmark.com/SpeedTest/2310/ST4000DM-000-1CD168
HDD,WD4003FZEX,WD,Black 4TB (2013),83,79.1,10899,https://hdd.userbenchmark.com/SpeedTest/3505/WDC-WD4003FZEX-00Z4SA0
HDD,,Seagate,ST2000VM003-1CT164 2TB,84,79,7350,https://hdd.userbenchmark.com/SpeedTest/7562/ST2000VM003-1CT164
HDD,ST8000VX0022,Seagate,SkyHawk 8TB (2016),85,78.7,31,https://hdd.userbenchmark.com/SpeedTest/228255/ST8000VX-ST8000VX0022-2EJ
HDD,ST1000VX005,Seagate,SkyHawk 1TB (2016),86,78.7,2376,https://hdd.userbenchmark.com/SpeedTest/225246/ST1000VX005-2EZ102
HDD,PH3300U-1I72,Toshiba,MD04ACA300 3TB,87,78.6,100,https://hdd.userbenchmark.com/SpeedTest/31118/TOSHIBA-MD04ACA300
HDD,WD1002F9YZ,WD,Se 1TB (2013),88,78.4,1098,https://hdd.userbenchmark.com/SpeedTest/11078/WDC-WD1002F9YZ-09H1JL0
HDD,ST4000VN000,Seagate,NAS HDD 4TB,89,78.2,2254,https://hdd.userbenchmark.com/Seagate-NAS-HDD-4TB/Rating/2669
HDD,ST10000VX0004,Seagate,SkyHawk 10TB (2016),90,78.2,37,https://hdd.userbenchmark.com/SpeedTest/192288/ST10000VX0004-1ZE101
HDD,WD5003AZEX,WD,Black 500GB (2012),91,78.1,11557,https://hdd.userbenchmark.com/SpeedTest/2070/WDC-WD5003AZEX-00K1GA0
HDD,ST4000DM000,Seagate,Desktop HDD 4TB (2013),92,77.9,33708,https://hdd.userbenchmark.com/Seagate-Desktop-HDD-4TB-2013/Rating/1598
HDD,HDWD105EZSTA,Toshiba,HDWD105 500GB,93,77.9,4256,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,,Seagate,ST1500DM003-9YN16G 1.5TB,94,77.7,3486,https://hdd.userbenchmark.com/SpeedTest/2739/ST1500DM003-9YN16G
HDD,WD40EFRX,WD,Red 4TB (2013),95,77.6,21577,https://hdd.userbenchmark.com/WD-Red-4TB-2013/Rating/3525
HDD,WD60EFRX,WD,Red 6TB (2014),96,77.4,5733,https://hdd.userbenchmark.com/WD-Red-6TB-2014/Rating/2663
HDD,ST2000VN000,Seagate,NAS HDD 2TB,97,77.1,2288,https://hdd.userbenchmark.com/SpeedTest/9942/ST2000VN000-1H3164
HDD,WD3001FAEX,WD,Black 3TB (2012),98,76.9,867,https://hdd.userbenchmark.com/SpeedTest/8039/WDC-WD3001FAEX-00MJRA0
HDD,,Hitachi,HDS723020BLE640 2TB,99,76.8,1602,https://hdd.userbenchmark.com/SpeedTest/1260/Hitachi-HDS723020BLE640
HDD,,WD,WD5000AZLX-00K4KA0 500GB,100,76.7,18663,https://hdd.userbenchmark.com/SpeedTest/5409/WDC-WD5000AZLX-00K4KA0
HDD,WD60EZRZ,WD,Blue 6TB (2015),101,76.7,4061,https://hdd.userbenchmark.com/WD-Blue-6TB-2015/Rating/3910
HDD,WD50EFRX,WD,Red 5TB (2014),102,76.3,551,https://hdd.userbenchmark.com/WD-Red-5TB-2014/Rating/3524
HDD,WD80EFZX,WD,Red 8TB (2016),103,76.3,1896,https://hdd.userbenchmark.com/SpeedTest/124577/WDC-WD80EFZX-68UW8N0
HDD,,Seagate,ST1000VM002-1CT162 1TB,104,75.5,12986,https://hdd.userbenchmark.com/SpeedTest/11140/ST1000VM002-1CT162
HDD,HUS724020ALA640,Hitachi,UltraStar 7K4000 2TB,105,75.3,1335,https://hdd.userbenchmark.com/SpeedTest/10357/HGST-HUS724020ALA640
