nombre,precio,formato,fuentepoder,ubfuente,panellateral,link
Clio 6802 (KB-6802),19.990,ATX,650 W.,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/5682-clio-6802-kb-6802
Clio S101 B (S101 B),19.990,Mini ITX,500 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/15386-clio-s101-b-s101-b
Cougar MG110 (385JMP0.0001),20.900,Micro ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/39448-cougar-mg110-385jmp00001
Redfox 5851BS,20.900,ATX,650 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/7720-redfox-5851bs
Sunshine Q5B,21.990,ATX,650 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/53920-sunshine-q5b
Spektra Poison 25M,22.990,Micro ATX,200 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/60877-spektra-poison-25m
Multimarca S605,22.900,Micro ATX,350 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/5719-multimarca-s605
XTech XTQ-100,23.900,Micro ATX,600 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/41043-xtech-xtq-100
XTech XTQ-103,23.990,Micro ATX,500 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/40546-xtech-xtq-103
Gamemax Expedition H605 - Blue,24.225,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65517-gamemax-expedition-h605-blue
Gamemax Expedition H605 - White,24.225,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65518-gamemax-expedition-h605-white
Gamemax Expedition - Blue,24.900,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/62090-gamemax-expedition-blue
Gamemax Expedition H605 - Red,24.900,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65913-gamemax-expedition-h605-red
Clio S603 Plus,24.990,Micro ATX,500 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/33245-clio-s603-plus
Gamemax Expedition H605 - Black,25.900,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65516-gamemax-expedition-h605-black
Infor-Ingen IS03-R,26.900,ATX,No posee,Superior,Acrílico,https://www.solotodo.com/products/39271-infor-ingen-is03-r
Infor-Ingen IS03-B,26.900,ATX,600 W.,Superior,Acrílico,https://www.solotodo.com/products/39270-infor-ingen-is03-b
Clio 5830,27.990,ATX,650 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/5555-clio-5830
Sunshine S605BK,28.990,Micro ATX,650 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/29759-sunshine-s605bk
Spektra Leeroy V2.0,29.990,ATX,230 W.,Superior,Aluminio (Cubierto),https://www.solotodo.com/products/60879-spektra-leeroy-v20
