nombre,precio,frecuencia,nucleos,socket,cache,arquitectura,link
Intel Celeron G1820,19.390,2700 MHz,2,LGA 1150,2 x 256KB L2 / 2MB L3,Intel Haswell,https://www.solotodo.com/products/16307-intel-celeron-g1820-bx80646g1820
AMD A4-6300,34.990,3700 - 3900 MHz,2,FM2,1MB L2 / No posee L3,AMD Richland,https://www.solotodo.com/products/14037-amd-a4-6300-ad6300okhlbox
Intel Celeron G3930,37.900,2900 MHz,2,LGA 1151,2 x 256KB L2 / 2MB L3,Intel Kaby Lake,https://www.solotodo.com/products/32459-intel-celeron-g3930-bx80677g3930
Intel Celeron G4900,38.179,3100 MHz,2,LGA 1151-v2,2 x 256KB L2 / 2 x 1MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/53374-intel-celeron-g4900-bx80684g4900
Intel Pentium G4500,39.900,3500 MHz,2,LGA 1151,2 x 256KB L2 / 3MB L3,Intel Skylake,https://www.solotodo.com/products/22502-intel-pentium-g4500-bx80662g4500
AMD A6-9500,42.900,3500 - 3800 MHz,2,AM4,1MB L2 / No posee L3,AMD Bristol Ridge,https://www.solotodo.com/products/41508-amd-a6-9500-ad9500agabbox
AMD A6-7400K,44.990,3500 - 3900 MHz,2,FM2+,1MB L2 / No posee L3,AMD Kaveri,https://www.solotodo.com/products/17636-amd-a6-7400k-ad740kybjabox
Intel Celeron G4920,46.074,3200 MHz,2,LGA 1151-v2,2 x 256KB L2 / 2 x 1MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/53375-intel-celeron-g4920-bx80684g4920
Intel Pentium G3250,47.990,3200 MHz,2,LGA 1150,2 x 256KB L2 / 3MB L3,Intel Haswell,https://www.solotodo.com/products/18692-intel-pentium-g3250-bx80646g3250
Intel Celeron G4930,48.520,3200 MHz,2,LGA 1151-v2,2 x 256KB L2 / 2 x 1MB L3,Intel Coffee Lake S,https://www.solotodo.com/products/71724-intel-celeron-g4930-bx80684g4930
AMD Athlon 3000G,49.990,3500 MHz,2,AM4,2 x 512KB L2 / 4MB L3,AMD Raven Ridge,https://www.solotodo.com/products/70701-amd-athlon-3000g-yd3000c6fhbox
AMD Athlon 200GE,55.091,3200 MHz,2,AM4,2 x 512KB L2 / 4MB L3,AMD Raven Ridge,https://www.solotodo.com/products/52284-amd-athlon-200ge-yd200gc6fbbox
Intel Core i3-4170,56.900,3700 MHz,2,LGA 1150,2 x 256KB L2 / 3MB L3,Intel Haswell,https://www.solotodo.com/products/20199-intel-core-i3-4170-bx80646i34170
