nombre,precio,capacidad,formato,bus,link
Patriot Burst 120 GB,22.900,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/45216-patriot-burst-120-gb-pbu120gs25ssdr
PNY CS900 120 GB,22.900,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/41537-pny-cs900-120-gb-ssd7cs900-120-rb
Western Digital Green 120 GB,39.990,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/30108-western-digital-green-120-gb-wds120g1g0a
SanDisk SSD Plus 120 GB,23.990,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42212-sandisk-ssd-plus-120-gb-sdssda-120g-g27
Kingston SSDNow A400 120 GB,24.900,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33673-kingston-ssdnow-a400-120-gb-sa400s37120g
Biostar S120 128 GB,23.900,128 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72785-biostar-s120-128-gb-s120-128
Crucial BX500 120 GB,24.990,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/50996-crucial-bx500-120-gb-ct120bx500ssd1
Lexar NS100 128 GB,25.990,128 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/63542-lexar-ns100-128-gb-lns100-128rbna
Kingston UV500 120 GB,26.900,120 GB,mSATA,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/44941-kingston-uv500-120-gb-suv500ms120g
SanDisk SSD Plus 240 GB,27.900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/21726-sandisk-ssd-plus-240-gb-sdssda-240g-g25
Patriot Burst 240 GB,28.900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/45217-patriot-burst-240-gb-pbu240gs25ssdr
PNY CS900 240 GB,28.900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/39794-pny-cs900-240-gb-ssd7cs900-240-rb
Mushkin Source 2 240 GB,28.900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/71035-mushkin-source-2-240-gb-mknssds2240gb
Biostar S100 240 GB,28.900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72786-biostar-s100-240-gb-s100-120
Crucial BX500 240 GB,29.900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/50997-crucial-bx500-240-gb-ct240bx500ssd1
Seagate Maxtor Z1 240 GB,29.900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/63530-seagate-maxtor-z1-240-gb-ya240vc1a001
A-DATA Ultimate SU630 240 GB,32.790,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58948-a-data-ultimate-su630-240-gb-asu630ss-240gq-r
Kingston SSDNow A400 240 GB,36.990,240 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58075-kingston-ssdnow-a400-240-gb-sa400m8240g
Lexar NS100 256 GB,32.900,256 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/63543-lexar-ns100-256-gb-lns100-256rbna
Biostar S120 256 GB,32.900,256 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/70343-biostar-s120-256-gb-s120-256
Western Digital Green 240 GB,44.990,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/30109-western-digital-green-240-gb-wds240g1g0a
Kingston HyperX Fury 3D 240 GB,38.990,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/66250-kingston-hyperx-fury-3d-240-gb-kc-s44240-6f
Micron 1100 256 GB,39.900,256 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43105-micron-1100-256-gb-mtfddak256tbn-1ar12abyy
Seagate Barracuda 250 GB,57.990,250 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/59406-seagate-barracuda-250-gb-za250cm10002
Kingston UV500 240 GB,38.900,240 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/44908-kingston-uv500-240-gb-suv500m8240g
Crucial MX500 250 GB,44.900,250 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42563-crucial-mx500-250-gb-ct250mx500ssd1
Asgard AN2 250 GB,39.990,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/69809-asgard-an2-250-gb-an2-250nvme
Intel Optane 16 GB,40.790,16 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/36060-intel-optane-16-gb-mempek1w016gaxt
Western Digital Blue 250 GB,41.900,250 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/40012-western-digital-blue-250-gb-wds250g2b0a
Lexar NM500 256 GB,44.900,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/63456-lexar-nm500-256-gb-lnm500-256rbna
Western Digital Blue 3D NAND 250 GB,47.990,250 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43982-western-digital-blue-3d-nand-250-gb-wds250g2b0b
Western Digital Blue SN500 250 GB,49.900,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/60611-western-digital-blue-sn500-250-gb-wds250g1b0c
Patriot Burst 480 GB,48.900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/49938-patriot-burst-480-gb-pbu480gs25ssdr
Western Digital Green 480 GB,57.990,480 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/51325-western-digital-green-480-gb-wds480g2g0b
PNY CS900 480 GB,49.900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42305-pny-cs900-480-gb-ssd7cs900-480-rb
Lexar NS200 480 GB,49.900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72787-lexar-ns200-480-gb-lns200-480rbna
SanDisk SSD Plus 480 GB,50.900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33443-sandisk-ssd-plus-480-gb-sdssda-480g-g26
Intel 545S 256 GB,52.896,256 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/41409-intel-545s-256-gb-ssdsc2kw256g8x1
Crucial BX500 480 GB,51.900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/51152-crucial-bx500-480-gb-ct480bx500ssd1
Seagate Maxtor Z1 480 GB,52.900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/64047-seagate-maxtor-z1-480-gb-ya480vc10001
Kingston A2000 250 GB,54.900,250 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/65074-kingston-a2000-250-gb-sa2000m8250g
Kingston HyperX Fury RGB 240 GB,54.900,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/51724-kingston-hyperx-fury-rgb-240-gb-shfr200240g
Kingston SSDNow A400 480 GB,73.500,480 GB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72887-kingston-ssdnow-a400-480-gb-sa400m8480g
Kingston KC600 256 GB,55.490,256 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/68884-kingston-kc600-256-gb-skc600256g
A-DATA XPG Gammix S5 256 GB,55.627,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/57793-a-data-xpg-gammix-s5-256-gb-agammixs5-256gt-c
A-DATA Ultimate SU630 480 GB,56.990,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58947-a-data-ultimate-su630-480-gb-asu630ss-480gq-r
Corsair Force LE200 120 GB,56.990,120 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/39654-corsair-force-le200-120-gb-cssd-f120gble200c
Lexar NS100 480 GB,56.990,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/65885-lexar-ns100-480-gb-lns100-480rbeu
Kingston HyperX Fury 3D 480 GB,58.500,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/66251-kingston-hyperx-fury-3d-480-gb-kc-s44480-6f
Crucial MX500 500 GB,63.900,500 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42561-crucial-mx500-500-gb-ct500mx500ssd1
Biostar S120 512 GB,59.900,512 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/72790-biostar-s120-512-gb-s120-512
Team T-Force Cardea 240 GB,62.605,240 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/45544-team-t-force-cardea-240-gb-tm8fp2240g0c110
