nombre,precio,gpu,memoria,frecuencias,bus,link
MSI N210-MD1G/D3,39.990,NVIDIA GeForce G 210,1 GB DDR3 (64 bit),589 MHz core / 500 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/2543-msi-n210-md1gd3
Zotac GeForce GT 710 1GB (ZT-71301-20L),49.900,NVIDIA GeForce GT 710,1 GB DDR3 (64 bit),954 MHz core / 800 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/24536-zotac-geforce-gt-710-1gb-zt-71301-20l
MSI GT 710 1GD3H LP,48.900,NVIDIA GeForce GT 710,1 GB DDR3 (64 bit),954 MHz core / 800 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/26136-msi-gt-710-1gd3h-lp
Galax GeForce GT 710 (71GGF4DC00WG),49.990,NVIDIA GeForce GT 710,1 GB DDR3 (64 bit),954 MHz core / 500 MHz memorias,PCI Express 2,0 x8,https://www.solotodo.com/products/69398-galax-geforce-gt-710-71ggf4dc00wg
ASUS GT710-SL-1GD5 (90YV0AL2-M0NA00),48.900,NVIDIA GeForce GT 710,1 GB GDDR5 (32 bit),954 MHz core / 1253 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/43567-asus-gt710-sl-1gd5-90yv0al2-m0na00
EVGA GT 710 (02G-P3-2713-KR),49.900,NVIDIA GeForce GT 710,2 GB DDR3 (64 bit),954 MHz core / 900 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/26597-evga-gt-710-02g-p3-2713-kr
MSI GT 710 2GD3 LP,50.900,NVIDIA GeForce GT 710,2 GB DDR3 (64 bit),954 MHz core / 800 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/26233-msi-gt-710-2gd3-lp
ASUS 710-2-SL-CSM,57.900,NVIDIA GeForce GT 710,2 GB DDR3 (64 bit),954 MHz core / 450 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/25187-asus-710-2-sl-csm
Galax GeForce GT 710 (71GPF4HI00GX),59.990,NVIDIA GeForce GT 710,2 GB DDR3 (64 bit),954 MHz core / 500 MHz memorias,PCI Express 2,0 x8,https://www.solotodo.com/products/69399-galax-geforce-gt-710-71gpf4hi00gx
ASUS GT710-SL-2GD5,64.990,NVIDIA GeForce GT 710,2 GB GDDR5 (64 bit),954 MHz core / 1253 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/67931-asus-gt710-sl-2gd5
MSI N730-2GD3V3,68.900,NVIDIA GeForce GT 730 (128 bits DDR3),2 GB DDR3 (128 bit),700 MHz core / 900 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/22506-msi-n730-2gd3v3
ASUS R7240-2GD3-L (90YV04T0-M0NA00),79.990,AMD Radeon R7 240,2 GB DDR3 (128 bit),780 MHz core / 900 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/14197-asus-r7240-2gd3-l-90yv04t0-m0na00
Zotac GT 730 (64 bits DDR3) (ZT-71113-20L),80.900,NVIDIA GeForce GT 730 (64 bits DDR3),2 GB DDR3 (64 bit),902 MHz core / 800 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/18601-zotac-gt-730-64-bits-ddr3-zt-71113-20l
Zotac GT 730 (64 bits DDR3) (ZT-71115-20L),92.340,NVIDIA GeForce GT 730 (64 bits DDR3),4 GB DDR3 (64 bit),902 MHz core / 800 MHz memorias,PCI Express 2.0 x16,https://www.solotodo.com/products/20186-zotac-gt-730-64-bits-ddr3-zt-71115-20l
MSI GeForce GT 1030 2G LP OC,94.900,NVIDIA GeForce GT 1030,2 GB GDDR5 (64 bit),1265 MHz core / 1502 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/36721-msi-geforce-gt-1030-2g-lp-oc
EVGA GeForce GT 1030 DDR4 (02G-P4-6232-KR),99.712,NVIDIA GeForce GT 1030,2 GB DDR4 (64 bit),1189 MHz core / 1050 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/46293-evga-geforce-gt-1030-ddr4-02g-p4-6232-kr
