Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,SSDPE21D280GASX,Intel,900P Optane NVMe PCIe 280GB,1,452,1467,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPED1D960GAX1,Intel,905P Optane NVMe PCIe 960GB,2,438,259,https://ssd.userbenchmark.com/SpeedTest/498903/INTEL-SSDPED1D960GAY
SSD,SSDPE21D480GASX,Intel,900P Optane NVMe PCIe 480GB,3,429,864,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,SB-ROCKET-NVMe4-2TB,Sabrent,Rocket 4 NVMe PCIe M.2 2TB,4,402,269,https://ssd.userbenchmark.com/SpeedTest/847932/Sabrent-ROCKET-40-2TB
SSD,GP-ASM2NE6200TTTD,Gigabyte,Aorus NVMe PCIe M.2 2TB,5,393,494,https://ssd.userbenchmark.com/SpeedTest/844144/GIGABYTE-GP-ASM2NE6200TTTD
SSD,CSSD-F2000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 2TB,6,387,828,https://ssd.userbenchmark.com/SpeedTest/841469/Force-MP600
SSD,SB-ROCKET-NVMe4-1TB,Sabrent,Rocket 4 NVMe PCIe M.2 1TB,7,384,2836,https://ssd.userbenchmark.com/SpeedTest/844208/Sabrent-ROCKET-40-1TB
SSD,GP-ASM2NE6100TTTD,Gigabyte,Aorus NVMe PCIe M.2 1TB,8,369,2014,https://ssd.userbenchmark.com/SpeedTest/842989/GIGABYTE-GP-ASM2NE6100TTTD
SSD,CSSD-F1000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 1TB,9,369,4229,https://ssd.userbenchmark.com/SpeedTest/843047/Force-MP600
SSD,MZ-V7P1T0BW,Samsung,970 Pro NVMe PCIe M.2 1TB,10,343,15518,https://ssd.userbenchmark.com/SpeedTest/497261/Samsung-SSD-970-PRO-1TB
SSD,MZ-V7S2T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 2TB,11,334,2419,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB
SSD,MZ-V7P512BW,Samsung,970 Pro NVMe PCIe M.2 512GB,12,332,45254,https://ssd.userbenchmark.com/SpeedTest/498971/Samsung-SSD-970-PRO-512GB
SSD,MZ-V7S1T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,13,330,41402,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,5MS24AA#ABC,HP,EX950 NVMe PCIe M.2 2TB,14,318,484,https://ssd.userbenchmark.com/SpeedTest/710813/HP-SSD-EX950-2TB
SSD,SB-ROCKET-NVMe4-500,Sabrent,Rocket 4 NVMe PCIe M.2 500GB,15,310,473,https://ssd.userbenchmark.com/SpeedTest/905105/Sabrent-Rocket-40-500GB
SSD,5MS23AA#ABC,HP,EX950 NVMe PCIe M.2 1TB,16,308,731,https://ssd.userbenchmark.com/SpeedTest/706053/HP-SSD-EX950-1TB
SSD,MZ-V7E1T0BW,Samsung,970 Evo NVMe PCIe M.2 1TB,17,307,67459,https://ssd.userbenchmark.com/SpeedTest/494791/Samsung-SSD-970-EVO-1TB
SSD,2YY47AA#ABC,HP,EX920 NVMe PCIe M.2 1TB,18,304,5309,https://ssd.userbenchmark.com/SpeedTest/488611/HP-SSD-EX920-1TB
SSD,ASX8200PNP-1TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 1TB,19,300,14961,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP
SSD,ASX8200NP-960GT-C,Adata,XPG SX8200 NVMe PCIe M.2 960GB,20,300,2065,https://ssd.userbenchmark.com/SpeedTest/504709/ADATA-SX8200NP
SSD,MZ-V7E2T0BW,Samsung,970 Evo NVMe PCIe M.2 2TB,21,297,4929,https://ssd.userbenchmark.com/SpeedTest/501128/Samsung-SSD-970-EVO-2TB
SSD,MZ-V7S500B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,22,294,80170,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,WDS100T3X0C,WD,Black SN750 NVMe PCIe M.2 1TB (2019),23,284,3109,https://ssd.userbenchmark.com/SpeedTest/703216/WDS100T3X0C-00SJG0
SSD,MZ-V6P2T0BW,Samsung,960 Pro NVMe PCIe M.2 2TB,24,284,2169,https://ssd.userbenchmark.com/SpeedTest/215493/Samsung-SSD-960-PRO-2TB
